variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.1077154926998577,0.11125463619032513,0.13957429578178343,0.5702501838488785,0.788992310580606,-0.18380977725075337,6.829241196260965,1.700683121765463,0.7006831217654629,46.0,28.0,0.46,0.28,46.0,0.46,-0.02909096796872035,28.0,0.28,-0.02965296519311904,strategy
sma150_3in_3out,0.10599839080544743,0.10991437523062732,0.14293695537101533,0.5394204109093864,0.7530054475729463,-0.2048844692312381,7.80399890520901,1.6976940500140558,0.6976940500140556,49.0,28.0,0.49,0.28,49.0,0.49,-0.05992074090821228,28.0,0.28,-0.03137006708752927,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09812421626882323,0.10137087076844951,0.12969926834032575,0.533790395350658,0.7681503453208656,-0.16534918757460068,6.726067857528882,1.6212385677158736,0.6212385677158735,43.0,28.0,0.43,0.28,43.0,0.43,-0.06555075646694083,28.0,0.28,-0.039244241624153506,strategy
sma250_3in_1out,0.09738699154779881,0.10129520441938375,0.13256899927317484,0.5246122678732849,0.7546346395890524,-0.16631604484355048,7.0602059945869335,1.6104130084274721,0.610413008427472,40.0,29.0,0.4,0.29,40.0,0.4,-0.07472888394431391,29.0,0.29,-0.03998146634517791,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09699092783284445,0.10056542680543495,0.13098769308076494,0.5223313333379623,0.75458786921131,-0.17519560355197492,6.837818862862931,1.6115606810105843,0.6115606810105841,45.0,27.0,0.45,0.27,45.0,0.45,-0.07700981847963646,27.0,0.27,-0.040377530060132255,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09481527354921969,0.09805106017813571,0.12637681139774146,0.5216279661844502,0.7621780541051674,-0.15727067332689376,6.827097185250629,1.5928908921216511,0.5928908921216512,46.0,29.0,0.46,0.29,46.0,0.46,-0.07771318563314851,29.0,0.29,-0.04255318434375703,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.0940220146861564,0.09734424790646398,0.12724694284554613,0.5126584446983753,0.7517602124026785,-0.1624447745325876,6.654768878865142,1.5903582476601386,0.5903582476601387,43.0,28.0,0.43,0.28,43.0,0.43,-0.08668270711922349,28.0,0.28,-0.04334644320682032,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09372360022912658,0.09724561621512116,0.1275143898904385,0.5110858182009056,0.7495206774378215,-0.16801115118580717,6.890847093481358,1.5836604862058778,0.5836604862058777,44.0,26.0,0.44,0.26,44.0,0.44,-0.08825533361669317,26.0,0.26,-0.043644857663850144,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09443718468646779,0.09773259272674852,0.12824428874114516,0.5102493784793912,0.7474159031519819,-0.1649819864330372,7.052151818555744,1.5968865144031281,0.596886514403128,41.0,26.0,0.41,0.26,41.0,0.41,-0.08909177333820754,26.0,0.26,-0.042931273206508955,strategy
sma150_3in_1out,0.09683791245561109,0.10033980206522211,0.13486291453970733,0.5071274990505814,0.7330601885239115,-0.18669405310861115,7.848347877390581,1.629154217639077,0.629154217639077,41.0,26.0,0.41,0.26,41.0,0.41,-0.09221365276701736,26.0,0.26,-0.04053054543736563,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.0927342543878725,0.09632340211758234,0.12707449379953878,0.5061241559864696,0.7453891091926608,-0.1670666503416345,6.960176529588086,1.5752671041351645,0.5752671041351646,43.0,27.0,0.43,0.27,43.0,0.43,-0.09321699583112908,27.0,0.27,-0.044634203505104234,strategy
sma200_3in_1out,0.0963158860736067,0.10004564304785403,0.13362946612327176,0.5044952112074307,0.7323735145061759,-0.1766330555164839,7.492927441806808,1.6157732931275866,0.6157732931275866,41.0,24.0,0.41,0.24,41.0,0.41,-0.0948459406101681,24.0,0.24,-0.04105257181937004,strategy
"set_[100, 200]__x100_2_200_1",0.09294618806848516,0.09642898805751168,0.12772664953047852,0.5026340945752675,0.7403935338572193,-0.16227010866092928,7.062174715515816,1.581674652349799,0.5816746523497991,45.0,29.0,0.45,0.29,45.0,0.45,-0.09670705724233127,29.0,0.29,-0.044422269824491545,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.09291131320309896,0.09653880394344944,0.12844017434027225,0.5015469346002236,0.7386647021611163,-0.17240665450371154,6.774544897710671,1.5810606740371091,0.5810606740371089,41.0,26.0,0.41,0.26,41.0,0.41,-0.09779421721737519,26.0,0.26,-0.04445714468987777,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09337508553037634,0.09692714876373394,0.12912719893372615,0.5007990377999151,0.7363527060393626,-0.17449107905263037,7.114077818978412,1.5877582392979617,0.5877582392979616,42.0,24.0,0.42,0.24,42.0,0.42,-0.09854211401768367,24.0,0.24,-0.0439933723626004,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.0907093496742626,0.09402443731615019,0.12396260218203407,0.4994692701205831,0.74492197296349,-0.1532795321350362,6.728009143049305,1.562340672913706,0.5623406729137058,42.0,28.0,0.42,0.28,42.0,0.42,-0.09987188169701562,28.0,0.28,-0.04665910821871413,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09155116126898896,0.09551795815456778,0.12882006494955903,0.49323738667741784,0.7294626744593832,-0.17799999025098628,7.0755116195359085,1.5655934229747828,0.5655934229747828,43.0,25.0,0.43,0.25,43.0,0.43,-0.10610376514018091,25.0,0.25,-0.04581729662398777,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08963992950985915,0.09321899335313563,0.12500223508496539,0.4892559642742573,0.732713159002813,-0.16306186800501252,6.794219159183772,1.5534714637230371,0.5534714637230372,43.0,25.0,0.43,0.25,43.0,0.43,-0.11008518754334144,25.0,0.25,-0.04772852838311757,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.09031846241401852,0.09370596986476298,0.12600331175587687,0.48767295412555034,0.7291989844205259,-0.16208676640861275,6.983690936002206,1.5662633358094673,0.5662633358094671,39.0,26.0,0.39,0.26,39.0,0.39,-0.11166819769204839,26.0,0.26,-0.047049995478958204,strategy
"set_[100, 200]__x100_2_200_2",0.09130728535410507,0.09522082211298985,0.12943104395027222,0.48696985834153006,0.7216583668969819,-0.17702548762955925,7.188884989876641,1.5679329508324937,0.5679329508324937,42.0,24.0,0.42,0.24,42.0,0.42,-0.1123712934760687,24.0,0.24,-0.04606117253887167,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08864856417252678,0.09229677925559682,0.12460972221525565,0.4839302181192198,0.7281588162813533,-0.1629927725068924,6.862278724164098,1.5452638699642682,0.5452638699642682,42.0,26.0,0.42,0.26,42.0,0.42,-0.11541093369837892,26.0,0.26,-0.04871989372044992,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08927846863752607,0.09290052590174844,0.1267818687805252,0.47857534459953976,0.7186493063953592,-0.171973310761837,7.056366849983444,1.5574948868116232,0.5574948868116231,38.0,24.0,0.38,0.24,38.0,0.38,-0.12076580721805902,24.0,0.24,-0.04808998925545063,strategy
sma250_3in_2out,0.09081383917145594,0.09611223023772357,0.13658141955343528,0.47421460728343917,0.6981680255097702,-0.19250320370799423,7.645813533556032,1.5556422938003547,0.5556422938003548,33.0,26.0,0.33,0.26,33.0,0.33,-0.12512654453415964,26.0,0.26,-0.04655461872152077,strategy
sma250_3in_3out,0.09326280681046242,0.09838771537872379,0.13885055935486748,0.47380554733509433,0.6945828617296445,-0.2068489386291091,8.130082815438847,1.5837311246020378,0.5837311246020377,35.0,24.0,0.35,0.24,35.0,0.35,-0.12553560448250445,24.0,0.24,-0.04410565108251429,strategy
sma200_3in_2out,0.09280855713736853,0.09762931115881036,0.13808568783759442,0.47154987089809836,0.6926809209994929,-0.20118903942477487,7.745397595684819,1.586211072602493,0.5862110726024929,36.0,22.0,0.36,0.22,36.0,0.36,-0.1277912809195004,22.0,0.22,-0.04455990075560818,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08748833864859862,0.09149133529258226,0.12627053546976594,0.47136896065875744,0.7126084509951983,-0.17342615063132377,6.9773268213516175,1.5359642961133193,0.5359642961133193,40.0,24.0,0.4,0.24,40.0,0.4,-0.1279721911588413,24.0,0.24,-0.0498801192443781,strategy
"set_[100, 200]__x100_1_200_1",0.08677678810735612,0.0903890537645334,0.12435507901884008,0.4676372304739381,0.7121542668571447,-0.15640114541673025,6.926604843497695,1.5363385285372586,0.5363385285372586,39.0,28.0,0.39,0.28,39.0,0.39,-0.13170392134366066,28.0,0.28,-0.05059166978562061,strategy
sma200_3in_3out,0.09453606590180756,0.09911421250548971,0.14031320812090914,0.46716184347591905,0.6852187841882291,-0.2130581959771353,8.21399452862956,1.613643881416527,0.6136438814165271,40.0,21.0,0.4,0.21,40.0,0.4,-0.1321793083416797,21.0,0.21,-0.042832391991169165,strategy
sma100_3in_2out,0.08790545746933486,0.09281233306716935,0.1347577461419589,0.4558672129280441,0.6811483481285088,-0.17564819214578503,7.541961298790855,1.542774865127558,0.5427748651275578,34.0,30.0,0.34,0.3,34.0,0.34,-0.14347393888955462,30.0,0.3,-0.04946300042364188,strategy
sma100_3in_3out,0.09175191572042665,0.09669111084009538,0.1408192807581213,0.4527591069017952,0.669170780052261,-0.20924363269274004,8.87437396167433,1.587773503927216,0.5877735039272163,41.0,27.0,0.41,0.27,41.0,0.41,-0.1465820449158035,27.0,0.27,-0.04561654217255007,strategy
"set_[100, 200]__x100_1_200_2",0.08518802071049986,0.08918088782001159,0.12583518537584593,0.4527449272197944,0.6944877378355844,-0.16994226194629064,7.047794339754001,1.5234032152129735,0.5234032152129734,41.0,23.0,0.41,0.23,41.0,0.41,-0.14659622459780436,23.0,0.23,-0.05218043718247686,strategy
sma100_3in_1out,0.07551485481710091,0.0807324644812128,0.1296778240370907,0.3791069312258819,0.6137795630603099,-0.16646705835798478,7.5397117127938245,1.456023217353039,0.4560232173530389,28.0,28.0,0.28,0.28,28.0,0.28,-0.22023422059171685,28.0,0.28,-0.06185360307587581,strategy
baseline_buyhold,0.13736845789297672,0.15072105993134785,0.21597296811666092,0.5993411518175988,0.7439792887160435,-0.33003037138505753,11.101604826369574,1.9821428833171697,0.9821428833171696,,,,,,,,,,,baseline
