variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_3out,0.10680432456458837,0.10850174420691043,0.12335233134916838,0.5928912543557667,0.8440021126813878,-0.15914332457735866,6.2477342805097145,1.6887344635017905,0.6887344635017906,5.0,3.0,0.5,0.3,5.0,0.5,0.009957643099797565,3.0,0.3,-0.022333935932077185,strategy
"set_[100, 200]__x100_2_200_2",0.09877431145988233,0.10019803306511846,0.11345594188044705,0.5823390513474469,0.8552232857702645,-0.12642920016929754,5.151463341212989,1.6224164870902449,0.622416487090245,5.0,3.0,0.5,0.3,5.0,0.5,-0.0005945599085222964,3.0,0.3,-0.030363949036783223,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09872986386005991,0.09999841217894578,0.11251595112070534,0.5813159417856842,0.8566199208863244,-0.13245441280656867,5.394473319216855,1.6237554246680879,0.6237554246680881,5.0,3.0,0.5,0.3,5.0,0.5,-0.0016176694702849548,3.0,0.3,-0.03040839663660565,strategy
sma200_3in_2out,0.10178641242935546,0.10388102337269381,0.12114965585736485,0.5772005605594881,0.8342689662475633,-0.1449906949284023,5.663733283639438,1.6458228300952555,0.6458228300952557,5.0,3.0,0.5,0.3,5.0,0.5,-0.005733050696481124,3.0,0.3,-0.027351848067310093,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09794701978609069,0.09955069702212317,0.11401676416115214,0.5730575557911484,0.8445747978946667,-0.13837755624938924,5.457220450344574,1.6148729160539415,0.6148729160539415,4.0,3.0,0.4,0.3,4.0,0.4,-0.009876055464820826,3.0,0.3,-0.031191240710574875,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.0964439486456774,0.0979255894189648,0.11191669917915596,0.568570876032667,0.8455168901246694,-0.1327691728765691,5.401025373232503,1.6044507177417722,0.604450717741772,4.0,2.0,0.4,0.2,4.0,0.4,-0.014362735223302208,2.0,0.2,-0.03269431185098816,strategy
sma200_3in_3out,0.1001286592932709,0.10296009229643563,0.12366656880325769,0.5674234863475022,0.8191042613295589,-0.16036803278029907,6.130474114282883,1.6247322267573914,0.6247322267573913,4.0,3.0,0.4,0.3,4.0,0.4,-0.015510124908467055,3.0,0.3,-0.02900960120339465,strategy
"set_[100, 200]__x100_2_200_1",0.09539489918725633,0.09708879892514696,0.1122465807366488,0.5648621682884658,0.8410513185178081,-0.12730293095134665,5.176544409529894,1.5942358609834346,0.5942358609834345,4.0,2.0,0.4,0.2,4.0,0.4,-0.018071442967503404,2.0,0.2,-0.033743361309409234,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.0956917400626904,0.09747787426214218,0.1132383747387399,0.5613062914496745,0.8349789377233927,-0.13793746435495222,5.470510615778755,1.5961388501287062,0.596138850128706,4.0,2.0,0.4,0.2,4.0,0.4,-0.02162731980629474,2.0,0.2,-0.03344652043397515,strategy
sma150_3in_1out,0.09808447742393786,0.09959917040660046,0.11538697616570906,0.55576996816243,0.823932626953588,-0.1597843722331866,6.3809257089770375,1.623530906166139,0.6235309061661388,5.0,3.0,0.5,0.3,5.0,0.5,-0.02716364309353924,3.0,0.3,-0.031053783072727693,strategy
