variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08788722947304155,0.08915909835541916,0.10381820999380359,0.5354693599843219,0.830603909261593,-0.13119840009500888,5.227298405546701,1.5415698787215668,0.5415698787215669,61.0,31.0,0.6161616161616161,0.31313131313131315,61.0,0.61,-0.007582425494707473,31.0,0.31,-0.028287795873332876,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08835092932423283,0.08973838695244629,0.10511353914563265,0.5354469229930101,0.8267589466182956,-0.13237857114121318,5.315995089088428,1.5442672482938256,0.5442672482938256,60.0,31.0,0.6060606060606061,0.31313131313131315,60.0,0.6,-0.007604862486019271,31.0,0.31,-0.027824096022141597,strategy
"set_[100, 200]__x100_2_200_2",0.08825829491820598,0.0897095682653601,0.10587341247500762,0.5325139032563694,0.8212644213765521,-0.1323981360475484,5.338516577342736,1.5441306202361358,0.5441306202361358,58.0,30.0,0.5858585858585859,0.30303030303030304,58.0,0.58,-0.010537882222660014,30.0,0.3,-0.027916730428168435,strategy
"set_[100, 200]__x100_2_200_1",0.08748730307045761,0.08884063536981941,0.10459741305581673,0.5293167971836464,0.821847463406301,-0.1310744993422886,5.223373846905203,1.5395934160329459,0.5395934160329456,58.0,30.0,0.5858585858585859,0.30303030303030304,58.0,0.58,-0.01373498829538292,30.0,0.3,-0.028687722275916823,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.0859450789451918,0.08737589384547205,0.1032109647766113,0.523529842509891,0.8204267705135979,-0.12638908229292237,5.125758175745796,1.5258006517966947,0.5258006517966949,60.0,30.0,0.6060606060606061,0.30303030303030304,60.0,0.6,-0.01952194296913843,30.0,0.3,-0.030229946401182636,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08546912559611415,0.08679660524844492,0.10202087229332132,0.5227569807205943,0.823289663280152,-0.12530582369971166,5.050347838060729,1.5230571606033485,0.5230571606033486,61.0,30.0,0.6161616161616161,0.30303030303030304,61.0,0.61,-0.020294804758435064,30.0,0.3,-0.03070589975026027,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08664501815645613,0.08810021012815528,0.10455576517951196,0.521845793515072,0.8148047345021081,-0.1357469909024508,5.525813382060175,1.5325071532641406,0.5325071532641403,60.0,30.0,0.6060606060606061,0.30303030303030304,60.0,0.6,-0.021205991963957335,30.0,0.3,-0.029530007189918304,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08616187996407733,0.08752092153112814,0.10341578336401983,0.5208728288355284,0.8172722153464315,-0.13440229130734851,5.439933941263535,1.5296536620336831,0.5296536620336832,61.0,30.0,0.6161616161616161,0.30303030303030304,61.0,0.61,-0.022178956643501023,30.0,0.3,-0.030013145382297098,strategy
sma200_3in_2out,0.0882982032006804,0.09042398446635348,0.11185783195848219,0.5142900457775434,0.7872732177152335,-0.14946776380331858,5.990975270667791,1.543727714930374,0.5437277149303741,58.0,31.0,0.5858585858585859,0.31313131313131315,58.0,0.58,-0.02876173970148598,31.0,0.31,-0.027876822145694043,strategy
"set_[100, 200]__x100_1_200_2",0.0846346328365569,0.08616582860489873,0.10316820252453829,0.5130306693641533,0.8097844599448323,-0.1248520830404008,5.075747737344261,1.5163953282828044,0.5163953282828045,58.0,30.0,0.5858585858585859,0.30303030303030304,58.0,0.58,-0.030021116114876022,30.0,0.3,-0.031540392509817536,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08562611639409642,0.08720753141728023,0.1050244836740557,0.5117421253648351,0.8031525401384414,-0.13555251932430643,5.596580846389745,1.5254234966009828,0.5254234966009826,58.0,29.0,0.5858585858585859,0.29292929292929293,58.0,0.58,-0.03130966011419426,29.0,0.29,-0.030548908952278016,strategy
sma200_3in_1out,0.08685589593538126,0.08868611867527211,0.10851332962298009,0.5115755482937171,0.7933026961629703,-0.14465123934168708,5.737733771033294,1.5348552842818515,0.5348552842818516,57.0,30.0,0.5757575757575758,0.30303030303030304,57.0,0.57,-0.031476237185312304,30.0,0.3,-0.029319129410993173,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08611484326636994,0.08779768382403745,0.10638819930051024,0.510953771512375,0.7983784877241349,-0.13860109611451826,5.731575103961141,1.5289291638660918,0.5289291638660919,56.0,29.0,0.5656565656565656,0.29292929292929293,56.0,0.56,-0.03209801396665443,29.0,0.29,-0.030060182080004494,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08423224534419858,0.085737717021181,0.10272043838309183,0.5094288421602514,0.8078151736390358,-0.1303155603010648,5.328601356860928,1.514045996837511,0.5140459968375111,59.0,30.0,0.5959595959595959,0.30303030303030304,59.0,0.59,-0.03362294331877795,30.0,0.3,-0.03194278000217585,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.0856019281024259,0.08721839522701032,0.10553918524254052,0.508647950955677,0.7985456122413706,-0.13692193283921947,5.647226157551614,1.525913445885603,0.5259134458856028,56.0,29.0,0.5656565656565656,0.29292929292929293,56.0,0.56,-0.034403834523352335,29.0,0.29,-0.030573097243948532,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.0850834768478453,0.08662824282025311,0.1044376242175537,0.5081207325245142,0.8012836616400085,-0.1343968137488128,5.524621898252105,1.5222261793928467,0.5222261793928469,58.0,29.0,0.5858585858585859,0.29292929292929293,58.0,0.58,-0.03493105295451523,29.0,0.29,-0.031091548498529128,strategy
"set_[100, 200]__x100_1_200_1",0.08383663948164038,0.08529689570935804,0.10215427405083491,0.5079707872895676,0.8078573413913727,-0.12509774560509718,4.983694102208544,1.5117674017346052,0.5117674017346053,57.0,30.0,0.5757575757575758,0.30303030303030304,57.0,0.57,-0.035080998189461775,30.0,0.3,-0.03233838586473405,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08373695278956265,0.08515842842415389,0.10169125339863332,0.5076304633125658,0.809220705585547,-0.12904416801706733,5.253090769954826,1.5111506272822612,0.5111506272822612,59.0,30.0,0.5959595959595959,0.30303030303030304,59.0,0.59,-0.03542132216646359,30.0,0.3,-0.032438072556811776,strategy
sma100_3in_2out,0.08705834622843668,0.08899515206436671,0.11044621219449782,0.5044189262621205,0.7809043130039341,-0.1336543626441552,5.5845456989382525,1.5390032187646343,0.5390032187646343,56.0,29.0,0.5656565656565656,0.29292929292929293,56.0,0.56,-0.03863285921690885,29.0,0.29,-0.02911667911793776,strategy
sma250_3in_2out,0.08752104474895442,0.08979602432661864,0.11227884416189186,0.5021353977127357,0.7762126183460812,-0.14852408857018845,5.735112279561171,1.5388214559104905,0.5388214559104905,57.0,33.0,0.5757575757575758,0.3333333333333333,57.0,0.57,-0.04091638776629367,33.0,0.33,-0.02865398059742002,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08372508991706132,0.08543519071706321,0.10442113731974471,0.4985973442355735,0.7917074975909177,-0.13175612290950794,5.479233344882209,1.510748652803542,0.510748652803542,56.0,28.0,0.5656565656565656,0.2828282828282828,56.0,0.56,-0.04445444124345592,28.0,0.28,-0.03244993542931311,strategy
