window,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2003-01-29_2008-01-28,"set_[100, 200]__x100_1_200_1",0.03129193460510682,0.034127063483218194,0.08133617242516379,0.050740812607274415,0.4195803965894511,-0.10390809526531666,4.903379734430871,1.166277515756901,0.16627751575690097
2003-01-29_2008-01-28,"set_[100, 200]__x100_2_200_1",0.03323710877355901,0.036142682713478154,0.08292857234494803,0.07407196988665346,0.4358290718323206,-0.10659203937770095,4.512916953186136,1.1773003661658807,0.17730036616588074
2003-01-29_2008-01-28,"set_[100, 200]__x100_1_200_2",0.029776358642326306,0.032746221037611704,0.08243689676322022,0.03331300843964994,0.3972277259740527,-0.10648224015887602,5.0473636733487215,1.1577464330302076,0.15774643303020763
2003-01-29_2008-01-28,"set_[100, 200]__x100_2_200_2",0.03171864391520085,0.03476184026787167,0.08400891643218471,0.056682557877241684,0.41378750904295725,-0.10915847427969068,4.664488882649547,1.168688482260031,0.16868848226003097
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_1_200_1",0.028284243481743188,0.03123062762642969,0.08163842985109225,0.015074121693353754,0.38254811714769715,-0.1075397449842311,5.331619564565786,1.149396232316666,0.149396232316666
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_1_200_1",0.029570653897492027,0.03257437377993633,0.08277216498799175,0.03110192635784999,0.3935426092172663,-0.10933440991230432,5.0669511471665345,1.1565923905860773,0.15659239058607732
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_2_200_1",0.025755081133560287,0.02884743368330493,0.08260697379989469,-0.013952409387214945,0.3492130549798897,-0.10956179850586496,5.7027807471296965,1.1353525415810275,0.1353525415810275
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_1_200_2",0.02729709903491484,0.03031006599602536,0.08212759381612118,0.0037754180004296507,0.3690606845719576,-0.1092085701570411,5.4248467938814064,1.1438984794849585,0.14389847948495849
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_2_200_1",0.027032811486546793,0.03019117983681156,0.0837915138923926,0.0022816133511691784,0.36031309656946786,-0.11135601671298823,5.428635340880849,1.1424301442873581,0.14243014428735812
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_1_200_2",0.028582261083488714,0.03165381214953201,0.08325488394851033,0.01986444603724173,0.38020366671952327,-0.1109998792135316,5.163226947110031,1.151060142344247,0.15106014234424703
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_2_200_2",0.024752571012741198,0.027926872052900606,0.08329914751121878,-0.024887745061498805,0.3352599982987749,-0.11124129939029787,5.7967973349899795,1.1298240238864508,0.12982402388645076
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_2_200_2",0.026029039200029302,0.029270618206407237,0.08447419501306205,-0.008634374005931391,0.34650366543156985,-0.11303213343099623,5.525388687619431,1.136867088647699,0.13686708864769903
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_1_200_1_250_1",0.019266647788355185,0.022408838219103926,0.08146778388087429,-0.09317992240952815,0.2750638000890155,-0.1179165019465738,5.3524628483387,1.0999508799876059,0.09995087998760588
