variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09705824238480978,0.09791300136432576,0.10759473092794394,0.5945317135052314,0.8805405580309211,-0.12790600461057955,5.177446007014837,1.6106070698037576,0.6106070698037575,54.0,25.0,0.5454545454545454,0.25252525252525254,54.0,0.54,0.0005898512563601005,25.0,0.25,-0.030109084020153363,strategy
"set_[100, 200]__x100_2_200_2",0.09665122029388092,0.09767389869813947,0.10854959893658223,0.5891307939231405,0.8724724175604703,-0.1278584697432308,5.051768439309401,1.6065711494620027,0.6065711494620026,53.0,25.0,0.5353535353535354,0.25252525252525254,53.0,0.53,-0.004811068325730809,25.0,0.25,-0.030516106111082228,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09490468337822518,0.09597290202950853,0.10701907868632078,0.5833730272709793,0.8709124510632755,-0.13357242804331915,5.177386819619586,1.591932291480341,0.591932291480341,52.0,24.0,0.5252525252525253,0.24242424242424243,52.0,0.52,-0.010568834977892015,24.0,0.24,-0.03226264302673796,strategy
sma150_3in_1out,0.09730413412186932,0.09839120669669833,0.11070355233153464,0.5786115657110794,0.8568615004625627,-0.14375061435288244,5.774299845411054,1.6160057028074855,0.6160057028074855,54.0,26.0,0.5454545454545454,0.26262626262626265,54.0,0.54,-0.015330296537791922,26.0,0.26,-0.029863192283093816,strategy
"set_[100, 200]__x100_2_200_1",0.09347439036812588,0.09476374969591361,0.10742094102420516,0.5739061928835204,0.8602452801431734,-0.13294665786569726,5.056977371497359,1.5796725366700448,0.5796725366700448,44.0,24.0,0.4444444444444444,0.24242424242424243,44.0,0.44,-0.02003566936535087,24.0,0.24,-0.03369293603683726,strategy
sma200_3in_3out,0.10053180185391579,0.10253861956198654,0.12040691255748842,0.5686059958471108,0.82525968313015,-0.15410058299039434,5.756628697122735,1.6391923984938912,0.6391923984938913,47.0,30.0,0.47474747474747475,0.30303030303030304,47.0,0.47,-0.025335866401760575,30.0,0.3,-0.026635524551047354,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09445102009287125,0.09570948601228178,0.1094739394276039,0.562909536350853,0.8437865883871625,-0.13352780481134435,5.488446131300846,1.5925513259604884,0.5925513259604884,50.0,25.0,0.5050505050505051,0.25252525252525254,50.0,0.5,-0.031032325898018395,25.0,0.25,-0.0327163063120919,strategy
sma200_3in_2out,0.0996963204530921,0.10123273506376546,0.11737858688236766,0.5606710101288518,0.8248355208639139,-0.14968300622721029,5.644507448277275,1.6390097847477336,0.6390097847477335,52.0,31.0,0.5252525252525253,0.31313131313131315,52.0,0.52,-0.03327085212001948,31.0,0.31,-0.027471005951871054,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.09131947704294627,0.09249171579039762,0.10525764004455089,0.5576184815970527,0.8502694104165245,-0.12954605527451754,5.254718919965248,1.5666178221167906,0.5666178221167906,50.0,24.0,0.5050505050505051,0.24242424242424243,50.0,0.5,-0.03632338065181858,24.0,0.24,-0.03584784936201688,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09238255176249482,0.09378384616282444,0.10786489070938854,0.5564990387069718,0.8427218915942716,-0.13400189942873525,5.191633787409536,1.573795813032562,0.573795813032562,47.0,24.0,0.47474747474747475,0.24242424242424243,47.0,0.47,-0.0374428235418995,24.0,0.24,-0.03478477464246832,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09241586335414663,0.09393800436891048,0.10877948449528471,0.5539164092920739,0.8380402626070652,-0.14149476788565254,5.257386690718395,1.5736746780438977,0.5736746780438977,46.0,24.0,0.46464646464646464,0.24242424242424243,46.0,0.46,-0.04002545295679739,24.0,0.24,-0.03475146305081652,strategy
sma100_3in_2out,0.09225319697892628,0.09411506233251352,0.1115353901170798,0.5536386353716485,0.8278997996316331,-0.1256557181724955,5.461748982817853,1.5694437908809133,0.5694437908809131,35.0,24.0,0.35353535353535354,0.24242424242424243,35.0,0.35,-0.040303226877222806,24.0,0.24,-0.03491412942603687,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09231995204355276,0.09376938667746454,0.10869437166351101,0.5528058397527111,0.835766217060865,-0.1382748274148918,5.445379868137098,1.573992516657128,0.5739925166571281,48.0,24.0,0.48484848484848486,0.24242424242424243,48.0,0.48,-0.04113602249616016,24.0,0.24,-0.03484737436141038,strategy
sma100_3in_3out,0.09656970685722131,0.09877607912715346,0.11900161220275805,0.5488485890898456,0.8071265001814322,-0.15163506623600223,6.062486510323705,1.6074142144025587,0.6074142144025587,45.0,24.0,0.45454545454545453,0.24242424242424243,45.0,0.45,-0.04509327315902579,24.0,0.24,-0.03059761954774184,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09027966083064458,0.09184374682800721,0.10701483302787074,0.546880464215741,0.8354064000286455,-0.13797939177666002,5.191597753627837,1.5561170689706278,0.5561170689706277,43.0,24.0,0.43434343434343436,0.24242424242424243,43.0,0.43,-0.047061398033130336,24.0,0.24,-0.036887665574318565,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09035179135670393,0.09199790503409325,0.10764261034428989,0.5460534354631551,0.833053126597553,-0.14443273326199565,5.232474695046813,1.5562593780399125,0.5562593780399125,42.0,24.0,0.42424242424242425,0.24242424242424243,42.0,0.42,-0.04788842678571622,24.0,0.24,-0.036815535048259206,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08917153471350454,0.09055161645558041,0.10475200872860159,0.5457494196154655,0.8397674829594939,-0.13448490093757295,5.248119531702955,1.5485235881557071,0.548523588155707,41.0,24.0,0.41414141414141414,0.24242424242424243,41.0,0.41,-0.04819244263340581,24.0,0.24,-0.03799579169145861,strategy
sma200_3in_1out,0.09339962576874751,0.09541243705931375,0.1144529609852345,0.5368551961076251,0.807414481162407,-0.15470196426396543,5.530316408669372,1.5833920136515678,0.5833920136515678,43.0,26.0,0.43434343434343436,0.26262626262626265,43.0,0.43,-0.05708666614124624,26.0,0.26,-0.033767700636215627,strategy
"set_[100, 200]__x100_1_200_2",0.08805304854934208,0.08954197033724727,0.10512858582582651,0.532875889762796,0.8259330294391334,-0.13023666588713634,5.239742493984141,1.5413430699577402,0.5413430699577403,42.0,24.0,0.42424242424242425,0.24242424242424243,42.0,0.42,-0.0610659724860754,24.0,0.24,-0.03911427785562107,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08874282519129846,0.09028820043835366,0.10701804164405233,0.5264563508045333,0.8141077844688321,-0.135355476389221,5.556347445886726,1.5491339668346138,0.5491339668346137,49.0,24.0,0.494949494949495,0.24242424242424243,49.0,0.49,-0.06748551144433798,24.0,0.24,-0.03842450121366468,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08667863412797105,0.0883625605888963,0.10547977448639598,0.519368716236274,0.8123892533051488,-0.13258524551320633,5.193711976943949,1.5310011137616548,0.5310011137616548,40.0,24.0,0.40404040404040403,0.24242424242424243,40.0,0.4,-0.07457314601259725,24.0,0.24,-0.04048869227699209,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08671807489957678,0.08851671879498234,0.10635644898528435,0.5172105300466121,0.8081954773292067,-0.14056171964632777,5.263448232444955,1.5309359436550312,0.5309359436550313,40.0,24.0,0.40404040404040403,0.24242424242424243,40.0,0.4,-0.07673133220225914,24.0,0.24,-0.04044925150538637,strategy
"set_[100, 200]__x100_1_200_1",0.08488824934216226,0.08663182133502141,0.10415033879244545,0.5159805584889071,0.8117320173740958,-0.13501493016873342,5.246584864637136,1.5156809030610583,0.5156809030610582,35.0,24.0,0.35353535353535354,0.24242424242424243,35.0,0.35,-0.07796130375996416,24.0,0.24,-0.04227907706280088,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08661710279268105,0.08834810110353641,0.1063010294545708,0.5156011831774497,0.8052392002779628,-0.14012362618547666,5.516061695960023,1.5311513059493558,0.5311513059493557,40.0,24.0,0.40404040404040403,0.24242424242424243,40.0,0.4,-0.07834067907142159,24.0,0.24,-0.04055022361228209,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08458089969197967,0.08642246125407907,0.10469253015512586,0.5089907982892526,0.8042169651811656,-0.1365567297670224,5.1958590431045275,1.5138645072986265,0.5138645072986264,35.0,24.0,0.35353535353535354,0.24242424242424243,35.0,0.35,-0.08495106395961871,24.0,0.24,-0.04258642671298347,strategy
sma150_3in_3out,0.09476328268503463,0.09698853206405843,0.12074267328315341,0.5089776210089069,0.7650929112974899,-0.16594141572383847,6.760051774508626,1.6076484461946183,0.6076484461946182,52.0,28.0,0.5252525252525253,0.2828282828282828,52.0,0.52,-0.08496424123996443,28.0,0.28,-0.03240404371992851,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08465888891135158,0.08657661946016511,0.1052758065133295,0.5085625471077806,0.8023722921509698,-0.1430766294855556,5.244918815913537,1.514054417931171,0.514054417931171,32.0,24.0,0.32323232323232326,0.24242424242424243,32.0,0.32,-0.08537931514109076,24.0,0.24,-0.04250843749361157,strategy
sma150_3in_2out,0.08965010538858544,0.09178066064056636,0.11551023740433193,0.4945588890932002,0.7607969139954431,-0.16578889605969016,7.0318224721022355,1.5657819445120444,0.5657819445120446,52.0,23.0,0.5252525252525253,0.23232323232323232,52.0,0.52,-0.09938297315567109,23.0,0.23,-0.0375172210163777,strategy
sma250_3in_3out,0.0870731733919294,0.09053694917590854,0.12184565608808183,0.4648890452073961,0.7216136896033611,-0.18060527884939298,6.561015174339478,1.5409415953596608,0.5409415953596608,29.0,19.0,0.29292929292929293,0.1919191919191919,29.0,0.29,-0.12905281704147525,19.0,0.19,-0.04009415301303374,strategy
sma250_3in_1out,0.0829888502026853,0.08600374109219436,0.1145389460708099,0.45784605089992547,0.7283575255015436,-0.1610836127118246,6.077179038134217,1.5056148716580409,0.5056148716580409,35.0,22.0,0.35353535353535354,0.2222222222222222,35.0,0.35,-0.13609581134894586,22.0,0.22,-0.04417847620227784,strategy
sma250_3in_2out,0.08291591969032217,0.08646621571045246,0.11833224888372935,0.4486515574390497,0.712485652742435,-0.18337245951215297,6.43147865437047,1.505407541279374,0.5054075412793738,34.0,19.0,0.3434343434343434,0.1919191919191919,34.0,0.34,-0.1452903048098216,19.0,0.19,-0.04425140671464098,strategy
sma100_3in_1out,0.07512821653584469,0.0778512056107291,0.10635964752280164,0.4294582157118883,0.71779998173601,-0.13294809031524057,6.010099321604121,1.447387157972428,0.4473871579724279,23.0,24.0,0.23232323232323232,0.24242424242424243,23.0,0.23,-0.16448364653698305,24.0,0.24,-0.05203910986911845,strategy
baseline_buyhold,0.12716732640496314,0.13680084155747152,0.19041262058130962,0.5939418622488714,0.7594243875350242,-0.2976783654921216,8.743140359723434,1.8837607653333757,0.8837607653333757,,,,,,,,,,,baseline
