variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma20_slope3in_price1out,0.09046721841165675,0.08992807273932878,0.09841681939974814,0.5603839469158928,0.8786114737361032,-0.15154410443648578,5.488616786807981,1.5971169068119984,0.5971169068119984,236.0,178.0,0.49064449064449067,0.3700623700623701,236.0,0.472,0.0006990619130221134,178.0,0.356,-0.02874056474892565,strategy
"set_[20, 100, 200]__entrySlope3__x20_1_100_2_200_2",0.0868750808100254,0.08708014858739652,0.09532077980174535,0.5448949579251114,0.870565596774213,-0.12408120537811569,5.226282406663313,1.5457579398952683,0.5457579398952682,263.0,143.0,0.5467775467775468,0.2972972972972973,263.0,0.526,-0.01478992707775924,143.0,0.286,-0.03233270235055701,strategy
"set_[20, 100, 200]__entrySlope3__x20_1_100_1_200_2",0.08618794205471071,0.08644042132417887,0.09473297754176827,0.5422248224607114,0.8711025445102347,-0.12868005969885268,5.167680785145642,1.5398355141142794,0.5398355141142794,262.0,134.0,0.5446985446985447,0.2785862785862786,262.0,0.524,-0.017460062542159326,134.0,0.268,-0.033019841105871695,strategy
"set_[20, 100, 200]__entrySlope3__x20_1_100_2_200_1",0.0840761233474294,0.08456856667599152,0.0948640063415062,0.5280674548452734,0.8549781764658424,-0.1273516534551246,5.482474468920646,1.5222757413191206,0.5222757413191205,263.0,117.0,0.5467775467775468,0.24324324324324326,263.0,0.526,-0.03161743015759736,117.0,0.234,-0.03513165981315302,strategy
"set_[20, 100, 200]__entrySlope3__x20_1_100_1_200_1",0.08337575198169118,0.08392883941277386,0.09434713427589933,0.5250201898770233,0.8547622943045783,-0.1308915954060586,5.36233421644195,1.516111235493523,0.5161112354935227,273.0,116.0,0.5675675675675675,0.24116424116424118,273.0,0.546,-0.03466469512584743,116.0,0.232,-0.03583203117889123,strategy
"set_[20, 50]__entrySlope3__x20_1_50_1",0.08284131491301545,0.08312912720097154,0.0934054050370337,0.5230759273429071,0.8572507734573139,-0.12228070845358642,4.908507372392337,1.5193047750007471,0.5193047750007472,288.0,135.0,0.5987525987525988,0.2806652806652807,288.0,0.576,-0.03660895765996357,135.0,0.27,-0.03636646824756696,strategy
"set_[20, 100, 200]__entrySlope3__x20_2_100_2_200_2",0.08492726833772402,0.08560829835388342,0.0972907477898627,0.522632013138725,0.840986214938808,-0.12515539476939652,5.233286158055421,1.5279190372106393,0.5279190372106393,278.0,135.0,0.577962577962578,0.2806652806652807,278.0,0.556,-0.037052871864145624,135.0,0.27,-0.03428051482285839,strategy
"set_[20, 100, 200]__entrySlope3__x20_2_100_1_200_2",0.08423973524159017,0.08496857109066576,0.09666671931735331,0.5197991480694933,0.8413442317317057,-0.12934393336488242,5.191147955578996,1.5219001079839294,0.5219001079839294,282.0,130.0,0.5862785862785863,0.2702702702702703,282.0,0.564,-0.03988573693337742,130.0,0.26,-0.03496804791899224,strategy
"set_[20, 100, 200]__entrySlope3__x20_2_100_2_200_1",0.08214903078121623,0.08309671644247843,0.0968332670012176,0.5057392284033606,0.8252862153119414,-0.12955959873368447,5.544117315107285,1.5051880917412808,0.5051880917412807,255.0,114.0,0.5301455301455301,0.23700623700623702,255.0,0.51,-0.05394565659951005,114.0,0.228,-0.03705875237936618,strategy
"set_[20, 100, 200]__entrySlope3__x20_2_100_1_200_1",0.0814482344988293,0.08245698917926075,0.09627787641284763,0.5026111171604587,0.8250047986205512,-0.1327569514648299,5.3966816733058875,1.4989230045947284,0.4989230045947282,262.0,119.0,0.5446985446985447,0.24740124740124741,262.0,0.524,-0.057073767842412026,119.0,0.238,-0.0377595486617531,strategy
"set_[20, 50]__entrySlope3__x20_2_50_1",0.08002509805824201,0.0809213518507019,0.09600628514204514,0.48737607941172834,0.8110090575952127,-0.12153517888046565,5.050875545105457,1.4947388701217148,0.4947388701217149,285.0,125.0,0.5925155925155925,0.2598752598752599,285.0,0.57,-0.0723088055911424,125.0,0.25,-0.0391826851023404,strategy
"set_[50, 100, 200]__entrySlope3__x50_1_100_2_200_2",0.08092743097303673,0.0825475182284917,0.10127989961421559,0.47821708931360435,0.7847555825223104,-0.13081918436898915,5.587559203545181,1.4934245846868306,0.49342458468683054,246.0,126.0,0.5114345114345115,0.26195426195426197,246.0,0.492,-0.08146779568926639,126.0,0.252,-0.03828035218754568,strategy
"set_[50, 100, 200]__entrySlope3__x50_1_100_1_200_2",0.08025169239980674,0.08190779096527405,0.10072115648076473,0.4756140647915919,0.7848284564729742,-0.13439392749710616,5.584709440537714,1.4880097098089455,0.4880097098089453,244.0,131.0,0.5072765072765073,0.27234927234927236,244.0,0.488,-0.08407082021127879,131.0,0.262,-0.03895609076077566,strategy
"set_[20, 50]__entrySlope3__x20_1_50_2",0.07720534869061195,0.07825235644046122,0.09513585817191011,0.46322153124754806,0.7905821166828313,-0.13804435484891492,5.724759080140046,1.4744991025003067,0.47449910250030675,260.0,129.0,0.5405405405405406,0.2681912681912682,260.0,0.52,-0.09646335375532265,129.0,0.258,-0.04200243446997045,strategy
"set_[50, 100, 200]__entrySlope3__x50_1_100_2_200_1",0.07818056505414467,0.08003593631708669,0.100857877618716,0.4612367629739285,0.768826349415112,-0.13453534188649086,5.8464205778471,1.4720647713804114,0.4720647713804114,211.0,122.0,0.4386694386694387,0.25363825363825365,211.0,0.422,-0.09844812202894214,122.0,0.244,-0.041027218106437745,strategy
"set_[50, 100, 200]__entrySlope3__x50_1_100_1_200_1",0.07749147539389628,0.07939620905386904,0.10036223283692655,0.4584616082060446,0.768452373073703,-0.1369653030259227,5.757699498253853,1.4663805748867549,0.4663805748867547,203.0,131.0,0.42203742203742206,0.27234927234927236,203.0,0.406,-0.10122327679682606,131.0,0.262,-0.04171630776668613,strategy
sma100_slope3in_price1out,0.08156818664134041,0.08410354333761495,0.11082108852565786,0.4496190759563899,0.7300013794889929,-0.16672940209404044,6.425677707956902,1.5007350933365038,0.5007350933365038,213.0,128.0,0.44282744282744285,0.2661122661122661,213.0,0.426,-0.11006580904648076,128.0,0.256,-0.037639596519241994,strategy
"set_[50, 100, 200]__entrySlope3__x50_2_100_2_200_2",0.07708631657503881,0.07929633772148482,0.10334308487726498,0.4419690460263429,0.74232940292274,-0.14167952900192557,6.018229517055636,1.4643911595480696,0.46439115954806975,207.0,134.0,0.4303534303534304,0.2785862785862786,207.0,0.414,-0.11771583897652782,134.0,0.268,-0.0421214665855436,strategy
"set_[50, 100, 200]__entrySlope3__x50_2_100_1_200_2",0.07644860659377944,0.07865661045826716,0.10269032202948136,0.4396255608546839,0.742789182301728,-0.14779963536380492,6.084352401080901,1.4599667027138192,0.459966702713819,183.0,130.0,0.3804573804573805,0.2702702702702703,183.0,0.366,-0.12005932414818679,130.0,0.26,-0.04275917656680296,strategy
"set_[20, 50]__entrySlope3__x20_2_50_2",0.0743820954110071,0.07604458109019158,0.09797923523959923,0.42822781542771393,0.744622355283075,-0.1326288620042873,5.737041879698903,1.4507741895828374,0.4507741895828375,276.0,132.0,0.5738045738045738,0.27442827442827444,276.0,0.552,-0.13145706957515677,132.0,0.264,-0.04482568774957531,strategy
"set_[50, 100, 200]__entrySlope3__x50_2_100_2_200_1",0.07435556366820803,0.07678475581007982,0.10289164911081455,0.4249815069284812,0.7264345560548001,-0.14454435267358506,6.221876477633931,1.4435765180177127,0.44357651801771264,175.0,134.0,0.36382536382536385,0.2785862785862786,175.0,0.35,-0.13470337807438953,134.0,0.268,-0.044852219492374376,strategy
"set_[50, 100, 200]__entrySlope3__x50_2_100_1_200_1",0.07370428553419411,0.07614502854686217,0.102298415180313,0.42249735955702006,0.7265177979485656,-0.14879055264381227,6.220468920687061,1.4388675149054317,0.4388675149054318,165.0,134.0,0.34303534303534305,0.2785862785862786,165.0,0.33,-0.1371875254458506,134.0,0.268,-0.04550349762638829,strategy
sma200_slope3in_price1out,0.07376575349736424,0.07775490216137784,0.11660759117591744,0.39773058033241704,0.6649847849577365,-0.18202153259562212,7.966065171511894,1.4418590623268894,0.44185906232688943,127.0,103.0,0.26403326403326405,0.21413721413721415,127.0,0.254,-0.16195430467045366,103.0,0.206,-0.045442029663218184,strategy
sma50_slope3in_price2out,0.06269767755154625,0.06657664014159367,0.10987197954124735,0.3078917250609289,0.5894013460516231,-0.17016221212097818,7.37871112982475,1.3680985149065115,0.3680985149065114,129.0,136.0,0.2681912681912682,0.28274428274428276,129.0,0.258,-0.25179315994194185,136.0,0.272,-0.05651010560903616,strategy
baseline_buyhold,0.1192077831605824,0.13005410704470877,0.19141620904916665,0.5596848850028707,0.7260522405322801,-0.30226509908524685,9.590162097693776,1.8189104665408344,0.8189104665408344,,,,,,,,,,,baseline
