variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09175897534383312,0.09291550990223253,0.1058715462975117,0.5572592451747067,0.8477143624843342,-0.12806587350208024,5.33882028227181,1.5708995137464952,0.5708995137464952,284.0,162.0,0.6004228329809725,0.34249471458773784,284.0,0.568,0.012436675027809393,162.0,0.324,-0.024535169890138986,strategy
"set_[100, 200]__x100_2_200_2",0.09163198333485421,0.09292914546630861,0.1068925952178683,0.5536711806387871,0.8411830299179932,-0.12756841711898248,5.203707926577857,1.569155408949683,0.5691554089496832,281.0,158.0,0.5940803382663847,0.33403805496828753,281.0,0.562,0.008848610491889747,158.0,0.316,-0.024662161899117886,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09000987170607001,0.09133128642532473,0.10533828671169192,0.5486700942468501,0.8405902525436456,-0.13328265046838303,5.325669807925841,1.5558542745926816,0.5558542745926817,273.0,148.0,0.5771670190274841,0.3128964059196617,273.0,0.546,0.0038475240999526978,148.0,0.296,-0.026284273527902087,strategy
"set_[100, 200]__x100_2_200_1",0.08905704963347091,0.09055281025094691,0.10583105886788924,0.5422918726037507,0.8327252654615861,-0.1323431223313735,5.182720807442954,1.5475333876840178,0.5475333876840176,252.0,147.0,0.53276955602537,0.3107822410147992,252.0,0.504,-0.002530697543146694,147.0,0.294,-0.027237095600501193,strategy
sma150_3in_1out,0.0914509900476081,0.09288823877408035,0.10881260672513159,0.5388857791947427,0.8218301339132907,-0.14479965017500687,5.951144435556824,1.5714682897767935,0.5714682897767934,289.0,176.0,0.6109936575052854,0.37209302325581395,289.0,0.578,-0.00593679095215472,176.0,0.352,-0.024843155186364017,strategy
sma200_3in_3out,0.09452175038813536,0.0967880429558269,0.1177102588589706,0.5330399528685922,0.7956705105146527,-0.15210360592811076,5.833843142235978,1.5932902361599728,0.5932902361599728,276.0,185.0,0.5835095137420718,0.39112050739957716,276.0,0.552,-0.011782617278305174,185.0,0.37,-0.02177239484583674,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08792100226035353,0.08947382680251968,0.10561649406216025,0.5281642582852777,0.8200291054365305,-0.1334590652731165,5.317971903612099,1.5407609579697708,0.5407609579697706,265.0,155.0,0.5602536997885835,0.3276955602536998,265.0,0.53,-0.0166583118616197,155.0,0.31,-0.028373142973618575,strategy
sma200_3in_2out,0.09381152396609932,0.09562491758915173,0.1146539114253654,0.5281611730195704,0.7985359752071648,-0.1460758472555233,5.763336124720428,1.5931945549669428,0.5931945549669428,283.0,192.0,0.5983086680761099,0.4059196617336152,283.0,0.566,-0.016661397127326946,192.0,0.384,-0.022482621267872788,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08911313946488375,0.09067889735463891,0.10776453269377333,0.5257871151224595,0.8109835207463771,-0.13227971298662852,5.630654216321354,1.5524248937138747,0.5524248937138748,277.0,157.0,0.5856236786469344,0.33192389006342493,277.0,0.554,-0.019035455024437885,157.0,0.314,-0.02718100576908835,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08767607075471415,0.08937161572392259,0.10647716578992746,0.5239746848004643,0.8137217691858029,-0.13970667558580202,5.375399446490186,1.5383812091340452,0.5383812091340452,263.0,154.0,0.5560253699788583,0.32558139534883723,263.0,0.526,-0.02084788534643314,154.0,0.308,-0.028618074479257957,strategy
