variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08953016110430367,0.0906388781541366,0.10402620980776779,0.5448267700076904,0.840071218399844,-0.12573858451147982,5.227690158940482,1.555853129700442,0.5558531297004423,267.0,150.0,0.55625,0.3125,267.0,0.534,-0.017647803962923946,150.0,0.3,-0.027989956968550077,strategy
"set_[100, 200]__x100_2_200_2",0.08963522039963417,0.09084231199167317,0.10496403784724008,0.5429685289665561,0.835416218720765,-0.12498841805170359,5.076556199158029,1.5561652439700022,0.556165243970002,264.0,150.0,0.55,0.3125,264.0,0.528,-0.019506045004058264,150.0,0.3,-0.027884897673219562,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08835841708743457,0.08957675381982398,0.10351145884563275,0.5403918797410517,0.837100325285959,-0.1291436390486772,5.197020231373353,1.5452460498468563,0.5452460498468563,262.0,145.0,0.5458333333333333,0.3020833333333333,262.0,0.524,-0.022082694229562654,145.0,0.29,-0.029161700985419165,strategy
"set_[100, 200]__x100_2_200_1",0.08792173711305598,0.08924912549020426,0.10393301247931878,0.537768979573477,0.8331507238896028,-0.1278255655232915,5.026901244858547,1.5410432792442956,0.5410432792442957,237.0,144.0,0.49375,0.3,237.0,0.474,-0.02470559439713731,144.0,0.288,-0.029598380959797756,strategy
sma200_3in_3out,0.09290638837608046,0.09494106468288682,0.11508079164530047,0.5297240205796769,0.7975968355710333,-0.1453941423716828,5.635890039176368,1.5828498199017702,0.5828498199017702,262.0,171.0,0.5458333333333333,0.35625,262.0,0.524,-0.032750553390937534,171.0,0.342,-0.024613729696773275,strategy
sma150_3in_1out,0.08878517615907765,0.09023201047906339,0.1069916748255736,0.5239560795360728,0.8113496424696441,-0.1427413286677574,5.9000513504982,1.5525012527550368,0.5525012527550367,262.0,160.0,0.5458333333333333,0.3333333333333333,262.0,0.524,-0.03851849443454159,160.0,0.32,-0.02873494191377609,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08603503551366884,0.08748357795994989,0.10358421018580935,0.5190939724868154,0.8161899396373322,-0.1301981985606882,5.185966409573823,1.5283591579841962,0.5283591579841963,245.0,149.0,0.5104166666666666,0.3104166666666667,245.0,0.49,-0.04338060148379896,149.0,0.298,-0.03148508255918489,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08597324340988456,0.08753423912587655,0.10435865949905701,0.5167192572959579,0.8117984723961891,-0.13493455110853828,5.2277254742595005,1.5273788071418641,0.5273788071418641,244.0,149.0,0.5083333333333333,0.3104166666666667,244.0,0.488,-0.04575531667465644,149.0,0.298,-0.03154687466296918,strategy
sma200_3in_2out,0.09118900963317737,0.09286993880892307,0.11201572350592053,0.5162886615837226,0.7922720657287597,-0.14270863369527978,5.592538259526718,1.5751515508083667,0.5751515508083668,264.0,172.0,0.55,0.35833333333333334,264.0,0.528,-0.046185912386891854,172.0,0.344,-0.02633110843967637,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08490184224303353,0.08642145362563727,0.10281377564024514,0.5160592034602789,0.8154015619238804,-0.13193264746185682,5.1497792794309465,1.5183694150606295,0.5183694150606294,229.0,143.0,0.47708333333333336,0.29791666666666666,229.0,0.458,-0.04641537051033543,143.0,0.286,-0.03261827582982022,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08486821213397776,0.08647211479156394,0.1033747943210557,0.5149471260736381,0.8127324267362837,-0.1360899609639656,5.17027459747683,1.5175877750415183,0.5175877750415184,230.0,145.0,0.4791666666666667,0.3020833333333333,230.0,0.46,-0.04752744789697621,145.0,0.29,-0.03265190593887598,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08688019345990586,0.08838356032473386,0.1058651358877527,0.513202446946882,0.803212447057091,-0.130513779311057,5.527676522180758,1.537540075470557,0.5375400754705568,256.0,148.0,0.5333333333333333,0.30833333333333335,256.0,0.512,-0.04927212702373235,148.0,0.296,-0.030639924612947886,strategy
sma100_3in_2out,0.08686408563004251,0.08881468517442329,0.10911061851958356,0.5127837186766345,0.7931509005322109,-0.12715734681382934,5.6315277497060245,1.5333814686227383,0.5333814686227383,193.0,137.0,0.40208333333333335,0.28541666666666665,193.0,0.386,-0.04969085529397987,137.0,0.274,-0.03065603244281123,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08433502149461966,0.08568344295746007,0.1016761555400978,0.5099719698287305,0.8123156826195111,-0.12726622731633985,5.311434729055595,1.5170660269923335,0.5170660269923334,255.0,147.0,0.53125,0.30625,255.0,0.51,-0.05250260414188391,147.0,0.294,-0.03318509657823408,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08573205894623025,0.08732143599042126,0.105133676617779,0.509805359560894,0.8018869667989902,-0.13276048079856778,5.457849191193988,1.5270615839504351,0.5270615839504352,251.0,142.0,0.5229166666666667,0.29583333333333334,251.0,0.502,-0.052669214409720395,142.0,0.284,-0.03178805912662349,strategy
sma200_3in_1out,0.08779704320207357,0.08968356580598524,0.10956299697181829,0.5096277002250843,0.7915198124883702,-0.14504730274122823,5.404219791721449,1.5437751285476717,0.5437751285476717,226.0,160.0,0.4708333333333333,0.3333333333333333,226.0,0.452,-0.05284687374553005,160.0,0.32,-0.02972307487078018,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08315859719319063,0.08462131862314748,0.10125269648365272,0.504885359698389,0.8084507231693799,-0.12980580522201024,5.273289692493188,1.5066841667735584,0.5066841667735585,231.0,143.0,0.48125,0.29791666666666666,231.0,0.462,-0.0575892142722254,143.0,0.286,-0.03436152087966312,strategy
sma100_3in_3out,0.08846684547506861,0.09087126655641287,0.1155591776402662,0.49393971278103543,0.7593974784806785,-0.1496375835558904,6.3080969874429265,1.550729829562961,0.5507298295629611,230.0,140.0,0.4791666666666667,0.2916666666666667,230.0,0.46,-0.06853486118957892,140.0,0.28,-0.029053272597785132,strategy
"set_[100, 200]__x100_1_200_2",0.0818488033185782,0.08340915919665841,0.10150267786387358,0.48998390262683095,0.7928758001140991,-0.12634275987461555,5.249878988115633,1.4984725946447792,0.4984725946447792,230.0,145.0,0.4791666666666667,0.3020833333333333,230.0,0.46,-0.07249067134378345,145.0,0.29,-0.035671314754275533,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08086561436230905,0.08252814276327337,0.1011839348025417,0.4839901820836756,0.788422530331695,-0.12815956703011883,5.187908377517262,1.490426473352268,0.490426473352268,226.0,147.0,0.4708333333333333,0.30625,226.0,0.452,-0.0784843918869388,147.0,0.294,-0.036654503710544704,strategy
"set_[100, 200]__x100_1_200_1",0.08012428759222684,0.0818159726951895,0.10067012752533844,0.4832457444930724,0.7885924963303521,-0.1285418317472435,5.204745126962782,1.4838139505263934,0.48381395052639353,208.0,142.0,0.43333333333333335,0.29583333333333334,208.0,0.416,-0.07922882947754203,142.0,0.284,-0.0373958304806269,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08081214920311905,0.08257880392920003,0.10190053716676144,0.48203299025223595,0.7845864239277469,-0.1334095531167892,5.228382147585996,1.4895382757092501,0.4895382757092502,227.0,148.0,0.47291666666666665,0.30833333333333335,227.0,0.454,-0.08044158371837844,148.0,0.296,-0.0367079688697347,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07972737465518924,0.08146601842896077,0.10049842790325686,0.4802603918693014,0.786758508798059,-0.12994521884865592,5.150556231795063,1.4806406625267454,0.4806406625267454,215.0,144.0,0.4479166666666667,0.3,215.0,0.43,-0.08221418210131293,144.0,0.288,-0.0377927434176645,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.07970189677900426,0.08151667959488743,0.1009960766385204,0.47956058087176157,0.7846826262120592,-0.13406029335890438,5.173006822504602,1.4799455171619291,0.47994551716192907,209.0,144.0,0.4354166666666667,0.3,209.0,0.418,-0.08291399309885286,144.0,0.288,-0.037818221293849485,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0817163130627841,0.08342812512805736,0.10337333447034344,0.47886937169032107,0.7761878795188824,-0.13224782901763268,5.603636781027423,1.4992991993146063,0.4992991993146064,251.0,144.0,0.5229166666666667,0.3,251.0,0.502,-0.0836052022802933,144.0,0.288,-0.03580380501006964,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08056320776901592,0.08236600079374476,0.10272488229565083,0.47478654203343074,0.7740106319366639,-0.13448460371200305,5.536595682597182,1.4890411370892396,0.4890411370892396,228.0,142.0,0.475,0.29583333333333334,228.0,0.456,-0.08768803193718361,142.0,0.284,-0.03695691030383782,strategy
sma150_3in_3out,0.084193365991025,0.08679828777274802,0.11603329075138098,0.44425087899274524,0.710051650980145,-0.16457882381948621,7.023207053425126,1.5284509046633439,0.5284509046633439,238.0,151.0,0.49583333333333335,0.3145833333333333,238.0,0.476,-0.11822369497786911,151.0,0.302,-0.033326752081828746,strategy
sma250_3in_3out,0.08094739224324253,0.08410839497901595,0.11513879090541654,0.4430945118851836,0.713271545568813,-0.16840686274257605,6.42656043810553,1.4955688781599343,0.4955688781599343,172.0,113.0,0.35833333333333334,0.23541666666666666,172.0,0.344,-0.11938006208543073,113.0,0.226,-0.03657272582961121,strategy
sma150_3in_2out,0.08100260054182587,0.08346605699085526,0.11163764674488583,0.4400622975209478,0.7153303665137369,-0.1614181839273292,7.038592621856775,1.5013101154734123,0.5013101154734122,239.0,141.0,0.4979166666666667,0.29375,239.0,0.478,-0.1224122764496666,141.0,0.282,-0.036517517531027874,strategy
sma250_3in_1out,0.0779951177218258,0.08076610989650328,0.10905560299330008,0.435599319678114,0.7188803374675611,-0.15411558608197995,5.987498514887113,1.4703163680321596,0.4703163680321595,195.0,137.0,0.40625,0.28541666666666665,195.0,0.39,-0.1268752542925004,137.0,0.274,-0.03952500035102795,strategy
sma250_3in_2out,0.07772260773086373,0.08091809339428327,0.11207243738331313,0.4280046081526549,0.7050746471394185,-0.16933617379963428,6.211670449326326,1.4683462543372363,0.4683462543372364,176.0,131.0,0.36666666666666664,0.27291666666666664,176.0,0.352,-0.1344699658179595,131.0,0.262,-0.039797510341990014,strategy
sma100_3in_1out,0.07131810422078996,0.07394837958439376,0.10385436390298196,0.39660759154065717,0.6919278651490522,-0.13241418768493918,6.113633437355373,1.4242130950670804,0.4242130950670804,150.0,137.0,0.3125,0.28541666666666665,150.0,0.3,-0.1658669824299572,137.0,0.274,-0.04620201385206379,strategy
