window,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2013-03-19_2018-03-18,"set_[100, 200]__x100_1_200_1",0.07340804640803356,0.07495800263255521,0.09050178861516636,0.49676369186167796,0.8282488531944185,-0.10284945568929724,4.350565339509759,1.4246302106426338,0.42463021064263384
2013-03-19_2018-03-18,"set_[100, 200]__x100_2_200_1",0.08919155340520346,0.09000148236959393,0.09527727189256556,0.6297565114716077,0.9446269879670717,-0.09883653647608315,3.887822787534677,1.5324068500338373,0.5324068500338373
2013-03-19_2018-03-18,"set_[100, 200]__x100_1_200_2",0.06890422305764332,0.07080339667735189,0.09106272257077103,0.44808013120452017,0.7775233891379183,-0.11286016703886348,4.785903782336227,1.39501580492667,0.3950158049266701
2013-03-19_2018-03-18,"set_[100, 200]__x100_2_200_2",0.08453125606580292,0.08584687641439062,0.09665891311519705,0.5777726503900672,0.8881423724688405,-0.10759945545925748,4.350331346524725,1.4999283533900276,0.4999283533900276
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_1_150_1_200_1",0.07849580985525662,0.07980455237878883,0.09178148195345247,0.5426427130915964,0.8695060341176688,-0.11449722519381764,4.741344482529231,1.4586868864105802,0.4586868864105802
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_2_150_1_200_1",0.08902810794982141,0.08983353887014799,0.09508900936108969,0.6292371670729783,0.9447310417233957,-0.10955792648156183,4.380568878540054,1.5312583324557865,0.5312583324557865
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_1_150_2_200_1",0.07774576628161856,0.07914735370457696,0.0922031275148361,0.5330334775972629,0.8584020503191893,-0.11180361594472352,4.753849153883232,1.4536257057919673,0.45362570579196726
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_1_150_1_200_2",0.07548905210724444,0.07703481507531997,0.09203011187322743,0.5110807117143461,0.8370609739281459,-0.12105650743769013,5.036508172325632,1.4384823870749166,0.4384823870749166
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_2_150_2_200_1",0.08823080110012071,0.08917634019593612,0.09587452124021369,0.6172269694851437,0.9301359635737292,-0.10701303943376282,4.401064901911327,1.5256655906044516,0.5256655906044516
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_2_150_1_200_2",0.08595213209425134,0.08706380156667912,0.09570902189644036,0.596221760874577,0.9096718349173436,-0.11631583732743024,4.684931130646134,1.5097717878173222,0.5097717878173222
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_1_150_2_200_2",0.0746924729287406,0.07637761640110807,0.09293205681887179,0.4990486382056502,0.8218651240009789,-0.11854448338077071,5.065342565477183,1.4331673047271276,0.4331673047271276
2013-03-19_2018-03-18,"set_[100, 150, 200]__x100_2_150_2_200_2",0.08510736394365925,0.08640660289246722,0.09695086587226613,0.5818060765623648,0.8912411675240625,-0.11395524934015804,4.72449224548515,1.50391326218305,0.50391326218305
2013-03-19_2018-03-18,"set_[100, 200, 250]__x100_1_200_1_250_1",0.07132360154544237,0.07294132036086956,0.08971152619522597,0.47866001373583483,0.8130652041537909,-0.12555323713097422,5.082652818299098,1.4108623053552223,0.4108623053552223
2013-03-19_2018-03-18,"set_[100, 200, 250]__x100_2_200_1_250_1",0.0817616476565104,0.08297030685222874,0.0933300342902942,0.5675590634357814,0.8889989967662232,-0.12190152742080201,4.782144390907874,1.480888830858877,0.480888830858877
2013-03-19_2018-03-18,"set_[100, 200, 250]__x100_1_200_2_250_1",0.06830185989020454,0.07017158305740069,0.09032158161192237,0.44476173180849254,0.7769082627328362,-0.13213554122464766,5.394524405270587,1.3910926546926201,0.3910926546926201
2013-03-19_2018-03-18,"set_[100, 200, 250]__x100_1_200_1_250_2",0.07164334842481579,0.07327259727261207,0.09007459670687412,0.4804084487153711,0.8134657267582327,-0.12488716565905038,5.000640315150947,1.4129673167118628,0.4129673167118628
