variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.10966251437873688,0.11338410993789447,0.14058613080035381,0.5733392364235208,0.7913724576764888,-0.19537068813076833,7.221742297142064,1.709763695867443,0.7097636958674428,41.0,23.0,0.41414141414141414,0.23232323232323232,41.0,0.41,-0.10203469586182339,23.0,0.23,-0.04581038056995777,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10363162783040243,0.10650582125514779,0.13029793389839628,0.5655306000450174,0.7993517963304173,-0.17102621816973712,6.8344730668323015,1.6616631622061862,0.6616631622061863,37.0,21.0,0.37373737373737376,0.21212121212121213,37.0,0.37,-0.10984333224032677,21.0,0.21,-0.05184126711829218,strategy
sma150_3in_1out,0.10533505008799965,0.1085399760448322,0.13411548399513826,0.5646032695344355,0.7925890012432789,-0.17445857300009135,6.858711676540585,1.6759987958527955,0.6759987958527957,40.0,22.0,0.40404040404040403,0.2222222222222222,40.0,0.4,-0.11077066275090869,22.0,0.22,-0.05013784486069497,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.10179236506681034,0.10446886837136204,0.12713769437001718,0.5641674654020986,0.8038161992420169,-0.1572209837080676,6.532889248308102,1.6464755367224218,0.6464755367224216,38.0,17.0,0.3838383838383838,0.1717171717171717,38.0,0.38,-0.1112064668832457,17.0,0.17,-0.053680529881884265,strategy
sma200_3in_1out,0.10645029104130342,0.10943249964786535,0.13511993887829632,0.5639542183719951,0.789629905765946,-0.17242058585472492,7.117513791951064,1.6929396954049079,0.692939695404908,44.0,21.0,0.4444444444444444,0.21212121212121213,44.0,0.44,-0.11141971391334915,21.0,0.21,-0.049022603907391195,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10211490776985077,0.10489110995746037,0.12845504705107944,0.5603146551491658,0.7976457575209462,-0.16271095952105655,6.768356059094466,1.6502910117927647,0.6502910117927648,36.0,21.0,0.36363636363636365,0.21212121212121213,36.0,0.36,-0.11505927713617849,21.0,0.21,-0.05335798717884388,strategy
sma250_3in_1out,0.10385836626179268,0.10727325128653727,0.13432564901074182,0.5578382473875473,0.7850875626850011,-0.16048134565985528,6.420911521882225,1.663130819168525,0.663130819168525,33.0,15.0,0.3333333333333333,0.15151515151515152,33.0,0.33,-0.11753568489779699,15.0,0.15,-0.05161452868690196,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09998638805580275,0.10301939276089177,0.12779131638391397,0.5522565011568862,0.7907571652374545,-0.16569612529600902,6.696603059799389,1.6296397390299528,0.6296397390299531,36.0,17.0,0.36363636363636365,0.1717171717171717,36.0,0.36,-0.12311743112845805,17.0,0.17,-0.055486506892891876,strategy
sma150_3in_3out,0.10945427566236787,0.1134217283768793,0.14484307252692308,0.548479492786458,0.7600121670063824,-0.2213946892237311,8.131245999907703,1.7226063731835064,0.7226063731835063,43.0,21.0,0.43434343434343436,0.21212121212121213,43.0,0.43,-0.12689443949888626,21.0,0.21,-0.04601861928632676,strategy
"set_[100, 200]__x100_2_200_1",0.1001656794319481,0.10306667691377445,0.12818046183255766,0.5482294399276106,0.7855722830963091,-0.16678226950426014,6.987337340263326,1.6358774132935463,0.6358774132935463,36.0,20.0,0.36363636363636365,0.20202020202020202,36.0,0.36,-0.12714449235773365,20.0,0.2,-0.055307215516746534,strategy
