ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
AUSF,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.10616596149047952,0.10846547484593795,0.12276083551159364,0.8835511292662585,0.8835511292662585,-0.14325637188341855,4.833615092926171,2.1433181346996477,1.1433181346996477
AUSF,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.10695209973213848,0.10931198232758678,0.12385844927399413,0.8825557155634308,0.8825557155634308,-0.141757254921423,4.97761713530746,2.154853822814557,1.154853822814557
AUSF,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.0984509575580903,0.10149670230597992,0.12302289286162865,0.8250228875705228,0.8250228875705228,-0.13756251607209863,5.2855900489748615,2.0329216043588376,1.0329216043588376
AUSF,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.09523847044709877,0.09843209610703225,0.12192346598691715,0.8073269186556293,0.8073269186556293,-0.15890147013860553,5.636041196592145,1.9884290654119468,0.9884290654119468
AUSF,baseline_buyhold,baseline,total return buy and hold,2018-08-28,2026-03-26,1904,,,,,,,,,,0.12332484574943359,0.1349747578019584,0.1924666583195778,0.7012890387375147,0.7012890387375147,-0.44245799822557397,7.476323054498364,2.40766516410414,1.4076651641041402
AUSF,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2018-08-28,2026-03-26,1904,,,,,,,200.0,3.0,2.0,0.07005435191408305,0.0735695901092512,0.1081289468522818,0.6803875581046472,0.6803875581046472,-0.18759267631218884,8.1397703607003,1.6679285394807617,0.6679285394807617
DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2014-06-12,2026-03-26,2965,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09525595411709209,0.0969859874027812,0.10922825860792128,0.8879202931442481,0.8879202931442481,-0.1470561056880295,5.348587423350623,2.9169957746820394,1.9169957746820394
DGRO,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2014-06-12,2026-03-26,2965,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.08903655787687792,0.09116212304542506,0.10805082360711057,0.8436966975550746,0.8436966975550746,-0.16699342639756443,5.958771062702565,2.7279528949714793,1.7279528949714793
DGRO,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2014-06-12,2026-03-26,2965,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.09011852628532835,0.09233583536796826,0.10971103387946152,0.8416276112156301,0.8416276112156301,-0.17036775253314876,6.090328492327724,2.760012417604634,1.7600124176046341
DGRO,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2014-06-12,2026-03-26,2965,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.08394132905281548,0.08638247856384254,0.10723826192598097,0.805519196343058,0.805519196343058,-0.20093800244865412,6.693823016341819,2.5815082096510698,1.5815082096510698
