window_id,start,end,trading_days,calendar_days,span_years
sample_001,2018-05-14,2021-09-03,835,1208,3.3134920634920637
sample_002,2016-06-07,2025-10-13,2352,3415,9.333333333333334
sample_003,2018-07-24,2021-11-24,843,1219,3.3452380952380953
sample_004,2018-01-03,2024-11-14,1729,2507,6.861111111111111
sample_005,2016-04-05,2025-12-23,2446,3549,9.706349206349206
sample_006,2015-10-26,2023-03-31,1871,2713,7.424603174603175
sample_007,2018-10-12,2025-05-13,1654,2405,6.563492063492063
sample_008,2020-12-03,2026-03-19,1328,1932,5.26984126984127
sample_009,2019-07-17,2022-08-08,772,1118,3.0634920634920637
sample_010,2016-06-22,2020-09-03,1059,1534,4.2023809523809526
sample_011,2020-09-28,2025-08-20,1230,1787,4.880952380952381
sample_012,2020-03-03,2023-08-09,866,1254,3.4365079365079363
sample_013,2018-06-12,2021-09-21,826,1197,3.2777777777777777
sample_014,2017-01-20,2025-09-25,2183,3170,8.662698412698413
sample_015,2021-02-08,2025-11-06,1194,1732,4.738095238095238
sample_016,2018-09-26,2023-12-20,1318,1911,5.23015873015873
sample_017,2015-10-20,2024-12-19,2308,3348,9.158730158730158
sample_018,2016-06-22,2021-12-22,1387,2009,5.503968253968254
sample_019,2017-10-30,2025-09-09,1975,2871,7.837301587301587
sample_020,2015-11-12,2024-01-03,2048,2974,8.126984126984127
sample_021,2020-10-30,2025-05-08,1135,1651,4.503968253968254
sample_022,2017-01-03,2024-05-01,1844,2675,7.317460317460317
sample_023,2015-12-22,2020-04-20,1088,1581,4.317460317460317
sample_024,2016-05-18,2020-11-13,1133,1640,4.496031746031746
sample_025,2019-11-20,2025-06-12,1397,2031,5.5436507936507935
sample_026,2018-06-28,2024-04-03,1450,2106,5.753968253968254
sample_027,2016-01-28,2026-03-11,2544,3695,10.095238095238095
sample_028,2016-02-18,2026-01-27,2500,3631,9.920634920634921
sample_029,2019-04-16,2025-08-01,1583,2299,6.281746031746032
sample_030,2016-12-16,2022-07-25,1409,2047,5.591269841269841
sample_031,2015-12-23,2022-09-21,1698,2464,6.738095238095238
sample_032,2018-10-11,2023-12-13,1302,1889,5.166666666666667
sample_033,2016-01-13,2022-06-02,1609,2332,6.384920634920635
sample_034,2016-10-27,2021-04-23,1129,1639,4.48015873015873
sample_035,2016-09-29,2025-12-08,2311,3357,9.170634920634921
sample_036,2019-04-08,2023-01-10,948,1373,3.761904761904762
sample_037,2019-06-05,2025-10-01,1591,2310,6.313492063492063
sample_038,2019-01-03,2023-06-29,1130,1638,4.484126984126984
sample_039,2019-08-01,2023-11-20,1085,1572,4.305555555555555
sample_040,2017-06-21,2023-12-04,1625,2357,6.448412698412699
sample_041,2018-12-14,2024-10-03,1460,2120,5.7936507936507935
sample_042,2016-01-11,2025-08-14,2413,3503,9.575396825396826
sample_043,2018-01-26,2022-06-10,1102,1596,4.373015873015873
sample_044,2018-06-26,2026-03-23,1945,2827,7.718253968253968
sample_045,2016-08-11,2022-12-15,1599,2317,6.345238095238095
sample_046,2018-03-27,2024-03-27,1511,2192,5.996031746031746
sample_047,2016-09-28,2025-05-13,2168,3149,8.603174603174603
sample_048,2016-09-26,2026-02-26,2368,3440,9.396825396825397
sample_049,2017-12-12,2023-02-28,1311,1904,5.2023809523809526
sample_050,2016-11-11,2019-12-27,786,1141,3.119047619047619
sample_051,2016-08-11,2026-02-17,2392,3477,9.492063492063492
sample_052,2016-07-11,2024-05-24,1983,2874,7.869047619047619
sample_053,2020-06-19,2024-05-06,976,1417,3.873015873015873
sample_054,2017-12-11,2025-07-31,1919,2789,7.615079365079365
sample_055,2016-03-24,2023-01-13,1715,2486,6.805555555555555
sample_056,2016-08-05,2026-03-03,2406,3497,9.547619047619047
sample_057,2016-02-11,2022-03-28,1543,2237,6.123015873015873
sample_058,2021-04-21,2025-07-16,1064,1547,4.222222222222222
sample_059,2018-07-16,2025-09-04,1795,2607,7.123015873015873
sample_060,2015-10-13,2026-03-26,2628,3817,10.428571428571429
sample_061,2016-12-15,2024-08-16,1929,2801,7.654761904761905
sample_062,2016-01-12,2025-11-20,2481,3600,9.845238095238095
sample_063,2015-11-10,2025-05-02,2383,3461,9.456349206349206
sample_064,2017-07-28,2025-01-15,1878,2728,7.4523809523809526
sample_065,2016-02-08,2020-05-18,1077,1561,4.273809523809524
sample_066,2016-02-23,2025-01-27,2246,3261,8.912698412698413
sample_067,2015-10-19,2026-03-06,2610,3791,10.357142857142858
sample_068,2016-01-05,2024-08-27,2176,3157,8.634920634920634
sample_069,2017-08-28,2025-10-30,2056,2985,8.158730158730158
sample_070,2016-11-30,2024-09-04,1952,2835,7.746031746031746
sample_071,2016-11-08,2020-12-07,1027,1490,4.075396825396825
sample_072,2017-10-11,2024-07-11,1697,2465,6.734126984126984
sample_073,2015-10-14,2026-03-17,2620,3807,10.396825396825397
sample_074,2017-04-07,2024-07-25,1836,2666,7.285714285714286
sample_075,2021-06-04,2026-01-22,1164,1693,4.619047619047619
sample_076,2017-01-23,2021-08-19,1153,1669,4.575396825396825
sample_077,2016-01-08,2024-12-05,2243,3254,8.90079365079365
