bucket_years,start,end,trading_days,calendar_days,span_years,window_source,window_id
3,2015-10-12,2018-10-11,757,1095,3.003968253968254,rolling,03y_01
3,2017-04-12,2020-04-09,754,1093,2.992063492063492,rolling,03y_02
3,2018-10-12,2021-10-11,754,1095,2.992063492063492,rolling,03y_03
3,2020-04-13,2023-04-12,756,1094,3.0,rolling,03y_04
3,2021-10-12,2024-10-11,755,1095,2.996031746031746,rolling,03y_05
3,2023-03-27,2026-03-26,753,1095,2.988095238095238,tail,03y_06
5,2015-10-12,2020-10-09,1259,1824,4.996031746031746,rolling,05y_01
5,2018-04-12,2023-04-11,1258,1825,4.992063492063492,rolling,05y_02
5,2020-10-12,2025-10-10,1256,1824,4.984126984126984,rolling,05y_03
7,2015-10-12,2022-10-11,1763,2556,6.996031746031746,rolling,07y_01
7,2019-03-27,2026-03-26,1760,2556,6.984126984126984,tail,07y_02
10,2015-10-12,2025-10-10,2515,3651,9.98015873015873,rolling,10y_01
