combo,roles,growth,momentum,div1,div1_role,div2,div2_role,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,score,rank,avg_corr
"IWF,SPMO,XLI,DGRO","large_growth,momentum,sector,quality",IWF,SPMO,XLI,sector,DGRO,quality,2015-12-02,2026-06-23,2653,1.2881154772318646,0.1583599091772554,-0.13461064069513767,1.1764293547633013,4.377251797500794,2.695815638177163,1.8465646885209857,1.5347738650832652,2.1351903688349494,1,0.8109886830077794
"IWF,SPMO,OEF,XLI","large_growth,momentum,broad_control,sector",IWF,SPMO,OEF,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.265728651161264,0.16361599047123732,-0.13492090070150733,1.2126808346263094,4.606308470622411,2.298612985533767,2.435171710976721,1.5144494949700045,2.0975036197253765,2,0.8377540844811007
"IWF,SPMO,EQWL,XLI","large_growth,momentum,broad_control,sector",IWF,SPMO,EQWL,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.285172227668436,0.15990572959697746,-0.1390091426046621,1.1503252707035583,4.450096029760655,2.643594455491486,2.0196747877779493,1.2466388205472776,2.0685278480798392,3,0.8093899641345028
"VONG,SPMO,XLI,DGRO","large_growth,momentum,sector,quality",VONG,SPMO,XLI,sector,DGRO,quality,2015-12-02,2026-06-23,2653,1.2859087998102003,0.15810189039554445,-0.1380917046337415,1.144905052876823,4.466180725624675,2.6566632311923972,1.8176702216461251,1.3067379261172445,2.0419373872832836,4,0.8095409016712125
"IWF,SPMO,DGRO,ITA","large_growth,momentum,quality,sector",IWF,SPMO,DGRO,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.3006503123900586,0.16017751324028318,-0.14713517024822886,1.0886419132152485,4.671712210830946,2.9182174096288493,2.050110725140926,0.7143227308555192,2.0400223348748696,5,0.7557241504122699
"VUG,SPMO,XLI,DGRO","large_growth,momentum,sector,quality",VUG,SPMO,XLI,sector,DGRO,quality,2015-12-02,2026-06-23,2653,1.2894780126278054,0.15904235192663818,-0.1417999681680446,1.1215965277097943,4.421673216593041,2.7199906896954724,1.922988657680411,1.0638187003022157,2.0238885848737302,6,0.806342287955563
"VONG,SPMO,OEF,XLI","large_growth,momentum,broad_control,sector",VONG,SPMO,OEF,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.2634543631004889,0.16335384992495472,-0.13848254520251985,1.1795988417606171,4.701317005426188,2.2582609835230216,2.405815664564542,1.2811349215016135,2.002011835176979,7,0.8365307943595591
"IWF,SPMO,OEF,ITA","large_growth,momentum,broad_control,sector",IWF,SPMO,OEF,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.276005757141574,0.16541742287498784,-0.14675466166073342,1.1271698016475884,4.813161082267249,2.480956554202361,2.6369067496910064,0.7392489127828062,1.9974318106486557,8,0.783712862184056
"IWF,SPMO,EQWL,ITA","large_growth,momentum,broad_control,sector",IWF,SPMO,EQWL,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.2952479408028845,0.16169375959682486,-0.14950789653869018,1.08150648454198,4.627856160323169,2.822364772089986,2.219908946156879,0.5588912659075597,1.9927087637519814,9,0.7557938188608491
"VUG,SPMO,OEF,XLI","large_growth,momentum,broad_control,sector",VUG,SPMO,OEF,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.267540595973226,0.1643056609016631,-0.14230921067208585,1.1545680010850619,4.660788022131407,2.3307617717656797,2.512405078541542,1.0304594760481998,1.9860819097444014,10,0.8340969564434029
"IWF,SPMO,SPY,XLI","large_growth,momentum,broad_control,sector",IWF,SPMO,SPY,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.2724511884703602,0.1634183912818019,-0.14309530174844062,1.142024855358906,4.699299662629951,2.417888922339023,2.4130433868455072,0.9789645825699532,1.985000236534923,11,0.8428892340266096
"IWF,SPMO,QUAL,ITA","large_growth,momentum,quality,sector",IWF,SPMO,QUAL,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.2761850579361391,0.1640967072266588,-0.14559055483694144,1.1271109407505446,4.5032722051593685,2.4841378337190623,2.4890052120637765,0.8155066883658147,1.9847653346992666,12,0.7797747203200135
"IWF,SPMO,XLI,SCHD","large_growth,momentum,sector,dividend_growth",IWF,SPMO,XLI,sector,SCHD,dividend_growth,2015-12-02,2026-06-23,2653,1.279512275742733,0.1542202605925982,-0.13327147529450759,1.1571888151744198,4.25394287460414,2.543171648272927,1.382982393814461,1.6224992975801955,1.9769226294504911,13,0.775992785769214
"VONG,SPMO,EQWL,XLI","large_growth,momentum,broad_control,sector",VONG,SPMO,EQWL,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.2829425184196999,0.15964663706922133,-0.14247480514856328,1.1205253932634083,4.540985079496589,2.6040334017972953,1.9906600764800706,1.0196117890774563,1.9753635866520374,14,0.8081652935527203
"IWF,SPMO,XLI,VIG","large_growth,momentum,sector,dividend_growth",IWF,SPMO,XLI,sector,VIG,dividend_growth,2015-12-02,2026-06-23,2653,1.2723089366599019,0.15703052565859976,-0.13512016688042505,1.1621546160282967,4.425313911761272,2.415364991689846,1.6976924715875172,1.5013960575683643,1.9617561814278195,15,0.8239792159572702
"VUG,SPMO,DGRO,ITA","large_growth,momentum,quality,sector",VUG,SPMO,DGRO,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.3033002538324556,0.16087824174371046,-0.1533334518174769,1.0492051136709204,4.693967671538101,2.9652345154459194,2.1285824410225747,0.30828854632222813,1.958987706102976,16,0.751196082840185
"IWF,SPMO,XLI,DGRW","large_growth,momentum,sector,dividend_growth",IWF,SPMO,XLI,sector,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.266391405902458,0.1578016523596797,-0.133961820607713,1.1779598966617364,4.333975077985442,2.3103720415260733,1.7840477933703944,1.5772764736148515,1.958862309113787,17,0.8288627756554604
"VUG,SPMO,EQWL,XLI","large_growth,momentum,broad_control,sector",VUG,SPMO,EQWL,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.286036678074843,0.1605819846199943,-0.1461624750497712,1.0986539778100566,4.509847024948447,2.658932136385624,2.0954058187980413,0.7780416015284304,1.9537833965315703,18,0.805708958390308
"VONG,SPMO,DGRO,ITA","large_growth,momentum,quality,sector",VONG,SPMO,DGRO,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.2985509441838383,0.1599205240540129,-0.1506570397306753,1.0614872317941308,4.7791373490295355,2.8809689574473683,2.021331558443665,0.4836137210498702,1.9468530367771928,19,0.7543674317450665
"IWF,SPMO,QUAL,XLI","large_growth,momentum,quality,sector",IWF,SPMO,QUAL,quality,XLI,sector,2015-12-02,2026-06-23,2653,1.2633107219384936,0.16226094698730242,-0.13984954696256566,1.1602536476627683,4.48471581879219,2.2557124020316848,2.283425939599444,1.1915859975466936,1.9434028650781272,20,0.8358589114291579
"IWF,SPMO,SPY,ITA","large_growth,momentum,broad_control,sector",IWF,SPMO,SPY,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.2843677277418897,0.16524256806720827,-0.15331521252303304,1.077796295278809,4.923535892340225,2.629320457745316,2.6173254757318225,0.3094833576523101,1.930370582214041,21,0.7883814439862618
"VUG,SPMO,OEF,ITA","large_growth,momentum,broad_control,sector",VUG,SPMO,OEF,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.278965034668864,0.16612560408051147,-0.15296480928854017,1.0860380557671003,4.837743589496178,2.533462116180671,2.7162130631644392,0.33243741193100274,1.9188424416517125,22,0.7801740616264895
"IWF,SPMO,ITA,VIG","large_growth,momentum,sector,dividend_growth",IWF,SPMO,ITA,sector,VIG,dividend_growth,2015-12-02,2026-06-23,2653,1.2851626217796175,0.15885085563492973,-0.14552473562015905,1.0915728859288487,4.640639739471547,2.6434240211249653,1.9015437720765902,0.8198183434131509,1.9108722555493274,23,0.7673518201971948
"VUG,SPMO,EQWL,ITA","large_growth,momentum,broad_control,sector",VUG,SPMO,EQWL,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.2973677060719688,0.1623882943326176,-0.15569103598658682,1.0430163387608762,4.668570868114596,2.859975123160134,2.2976870473622606,0.1538490045107589,1.9075652686158533,24,0.7522311405967858
"VONG,SPMO,OEF,ITA","large_growth,momentum,broad_control,sector",VONG,SPMO,OEF,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.2738288907221982,0.16515632749953024,-0.15029356893659937,1.098891513909026,4.919401240412678,2.442333074773006,2.6076677476799413,0.5074237990247868,1.903193960275274,25,0.7825806347318779
"VONG,SPMO,EQWL,ITA","large_growth,momentum,broad_control,sector",VONG,SPMO,EQWL,broad_control,ITA,sector,2015-12-02,2026-06-23,2653,1.29312722597252,0.16143570520582018,-0.1530235332157811,1.0549730607656074,4.728376627427891,2.7847375732425705,2.1910104915430195,0.32859055185479014,1.8994616964013487,26,0.75466021094843
"VONG,SPMO,QUAL,ITA","large_growth,momentum,quality,sector",VONG,SPMO,QUAL,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.2742321885986183,0.16383949921035712,-0.1491038205494165,1.0988283104124543,4.601915058699632,2.449488666450644,2.4602015394873216,0.5853612903750219,1.8929286718871268,27,0.7787350760169232
"VONG,SPMO,SPY,XLI","large_growth,momentum,broad_control,sector",VONG,SPMO,SPY,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.270161124789074,0.16315638707482316,-0.1465538811840451,1.1132860198354508,4.800224443070034,2.3772570182870365,2.3837026085137087,0.7524015481078636,1.8914117747899528,28,0.8417183839538915
"VUG,SPMO,QUAL,ITA","large_growth,momentum,quality,sector",VUG,SPMO,QUAL,quality,ITA,sector,2015-12-02,2026-06-23,2653,1.2783871045198454,0.1647928418472071,-0.15227179275599523,1.082228289721892,4.553359521561377,2.5232080771530385,2.5669624778120133,0.377835220906969,1.8905348204439614,29,0.7762860771584389
"VONG,SPMO,XLI,SCHD","large_growth,momentum,sector,dividend_growth",VONG,SPMO,XLI,sector,SCHD,dividend_growth,2015-12-02,2026-06-23,2653,1.2772956879764918,0.15396359080718458,-0.13676310785636303,1.125768441653772,4.341909061074411,2.5038434050556293,1.3542389955113112,1.3937710340923435,1.8834205913805642,30,0.7744554647986162
"VUG,SPMO,XLI,SCHD","large_growth,momentum,sector,dividend_growth",VUG,SPMO,XLI,sector,SCHD,dividend_growth,2015-12-02,2026-06-23,2653,1.2814151533230487,0.15490736784641035,-0.14046636215580827,1.1028075723537556,4.291853774129809,2.5769338269834496,1.4599287217255572,1.1511799509355534,1.8699563878546077,31,0.7713871778049666
"VUG,SPMO,SPY,XLI","large_growth,momentum,broad_control,sector",VUG,SPMO,SPY,broad_control,XLI,sector,2015-12-02,2026-06-23,2653,1.2731053679605013,0.1640915013509836,-0.15022114482472612,1.0923329171964509,4.774104481395846,2.4294958302575242,2.4884222273629946,0.5121681245086273,1.8690291178092227,32,0.8392048657390486
"VONG,SPMO,XLI,VIG","large_growth,momentum,sector,dividend_growth",VONG,SPMO,XLI,sector,VIG,dividend_growth,2015-12-02,2026-06-23,2653,1.2700539675474465,0.15677196282559347,-0.1385990479839078,1.1311186123283883,4.513294318299142,2.375355759908998,1.668737078635774,1.2735031107637136,1.8681452948471065,33,0.8225139474575426
"VONG,SPMO,XLI,DGRW","large_growth,momentum,sector,dividend_growth",VONG,SPMO,XLI,sector,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.2641888048596606,0.15754324769622063,-0.13744144135433067,1.1462572434035128,4.421090611012138,2.2712919604929183,1.755110113178602,1.3493350746071533,1.8656594328986098,34,0.8275249226796997
"VUG,SPMO,XLI,VIG","large_growth,momentum,sector,dividend_growth",VUG,SPMO,XLI,sector,VIG,dividend_growth,2015-12-02,2026-06-23,2653,1.2742269457529878,0.15771879079949747,-0.1423062045036857,1.1083057927766782,4.455762765805262,2.4493956442336815,1.7747684665322156,1.0306564027481713,1.855117077362662,35,0.819295364753494
