ticker,theme,inception,history_years_to_end,eligible_10y
EQWL,broad_control,2006-12-01,19.55920602327173,True
OEF,broad_control,2000-10-27,25.65366187542779,True
RSP,broad_control,2003-05-01,23.145790554414784,True
SPY,broad_control,1993-01-29,33.39630390143737,True
NOBL,dividend_growth,2013-10-10,12.700889801505818,True
RDVY,dividend_growth,2014-01-07,12.457221081451062,True
SCHD,dividend_growth,2011-10-20,14.674880219028063,True
VIG,dividend_growth,2006-05-02,20.142368240930868,True
DGRW,incumbent,2013-05-22,13.086926762491444,True
IWY,incumbent,2009-09-28,16.733744010951405,True
QQQ,incumbent,1999-03-10,27.288158795345655,True
SPMO,incumbent,2015-10-12,10.69678302532512,True
EFA,international,2001-08-27,24.82135523613963,True
EFG,international,2005-08-05,20.88158795345654,True
EWT,international,2000-06-23,25.998631074606433,True
IMTM,international,2015-01-27,11.403148528405202,True
INDA,international,2012-02-03,14.38466803559206,True
IQLT,international,2015-01-21,11.419575633127995,True
VEA,international,2007-07-26,18.910335386721425,True
VEU,international,2007-03-08,19.293634496919918,True
VWO,international,2005-03-10,21.286789869952088,True
IUSG,large_growth,2000-07-28,25.90280629705681,True
IWF,large_growth,2000-05-26,26.075290896646134,True
MGC,large_growth,2007-12-27,18.48870636550308,True
MGK,large_growth,2007-12-27,18.48870636550308,True
SCHG,large_growth,2010-01-04,16.465434633812457,True
SPYG,large_growth,2000-10-02,25.72210814510609,True
VONG,large_growth,2010-09-22,15.75085557837098,True
VUG,large_growth,2004-01-30,22.39561943874059,True
XLG,large_growth,2005-05-10,21.11978097193703,True
ARKK,midcap_growth,2014-10-31,11.644079397672828,True
IWP,midcap_growth,2001-08-02,24.889801505817932,True
VOT,midcap_growth,2006-08-25,19.82751540041068,True
MTUM,momentum,2013-04-18,13.180013689253936,True
PDP,momentum,2007-03-01,19.312799452429843,True
QMOM,momentum,2015-12-02,10.557152635181383,True
XMMO,momentum,2005-03-03,21.305954825462013,True
LRGF,multifactor,2015-04-30,11.148528405201917,True
SPGP,multifactor,2011-06-16,15.019849418206707,True
DGRO,quality,2014-06-12,12.030116358658454,True
GSLC,quality,2015-09-21,10.754277891854894,True
QUAL,quality,2013-07-18,12.930869267624914,True
SPHQ,quality,2005-12-06,20.54483230663929,True
GLD,sector,2004-11-18,21.593429158110883,True
ITA,sector,2006-05-05,20.134154688569474,True
XBI,sector,2006-02-06,20.3750855578371,True
XLB,sector,1998-12-22,27.50171115674196,True
XLE,sector,1998-12-22,27.50171115674196,True
XLF,sector,1998-12-22,27.50171115674196,True
XLI,sector,1998-12-22,27.50171115674196,True
XLP,sector,1998-12-22,27.50171115674196,True
XLRE,sector,2015-10-08,10.707734428473648,True
XLU,sector,1998-12-22,27.50171115674196,True
XLV,sector,1998-12-22,27.50171115674196,True
XLY,sector,1998-12-22,27.50171115674196,True
FTEC,tech,2013-10-24,12.66255989048597,True
IGM,tech,2001-03-19,25.2621492128679,True
IGV,tech,2001-07-17,24.933607118412045,True
IYW,tech,2000-05-19,26.094455852156056,True
SMH,tech,2000-06-05,26.04791238877481,True
SOXX,tech,2001-07-13,24.944558521560573,True
VGT,tech,2004-01-30,22.39561943874059,True
XLK,tech,1998-12-22,27.50171115674196,True
FDMO,momentum,2016-09-15,9.768651608487337,False
JMOM,momentum,2017-11-09,8.618754277891854,False
VFMO,momentum,2018-02-16,8.347707049965777,False
DSTL,multifactor,2018-10-24,7.663244353182751,False
OMFL,multifactor,2017-11-10,8.616016427104723,False
JQUA,quality,2017-11-09,8.618754277891854,False
XLC,sector,2018-06-19,8.010951403148528,False
