combo,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,blended_score,combo_rank,avg_corr
"IGM,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.3831104004244748,0.2485185250893045,-0.20316407051176666,1.2232405290132786,6.447179783060575,3.175251516154776,1.4664367152747189,0.420599603919173,2.1116766934436386,1,0.8108762299987449
"IGM,IWF,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3712400000688552,0.2504681149437562,-0.18943659912208513,1.3221738360196091,6.1931458765858975,2.902079937675657,1.5405129427694946,0.8988149814067825,2.092956847950034,2,0.8635935468732088
"IGM,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.3706325463019957,0.25114135400527404,-0.19584560957011515,1.2823435488624642,6.265255479302752,2.8881007036671322,1.5660931999530703,0.6755482730871074,2.0489879664369086,3,0.8624251468382808
"IGM,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.36942998266283,0.25017969080842173,-0.19282625628732333,1.2974358141125664,6.289746756167543,2.860426303672951,1.529554036815386,0.7807316043001722,2.045225683741126,4,0.8628579549116288
"IWF,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.3757729183908605,0.23342574178093245,-0.18225810367343162,1.280742732839921,5.905894258695039,3.0063952443243416,0.8929743291592825,1.148887759802904,2.0008674728705365,5,0.8103899038672023
"SMH,SPMO,VUG,XMMO",2015-12-02,2026-06-23,2653,1.375935718115663,0.23411801544240984,-0.18764884707308785,1.2476389761735258,5.9743336653827175,3.0101417277173166,0.9192778212087234,0.9610937869272299,1.9730729676067211,6,0.8076430884335614
"SMH,SPMO,VONG,XMMO",2015-12-02,2026-06-23,2653,1.3737573863703538,0.23314064405625579,-0.18405682378177,1.2666775361324438,6.001385909658083,2.960012136171098,0.8821418128414692,1.0862268668251809,1.9618939853030257,7,0.8096595451341314
"IGM,IWF,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3640556186462067,0.25026255960523236,-0.1963490154081139,1.2745801606647147,6.484741905192333,2.7367469451206228,1.5327027031006284,0.6580114372042086,1.9597865709313416,8,0.8505712856418018
"IWF,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.361720012473058,0.23603049009845312,-0.1757261817376334,1.3431720177637307,5.765634608529084,2.6829980229351484,0.9919438270230061,1.3764362591277899,1.914369411400034,9,0.8620615808260461
"IGM,SMH,VUG,XMMO",2015-12-02,2026-06-23,2653,1.3636046794461754,0.25093917871168125,-0.20327944922686378,1.2344542434864052,6.560336201818822,2.7263695551943967,1.5584113877976546,0.4165802274274705,1.9140242394219888,10,0.8498860078502615
"IGM,SMH,VONG,XMMO",2015-12-02,2026-06-23,2653,1.362322108029573,0.24997591711335687,-0.1996690059478874,1.2519515281134785,6.579298787957273,2.6968539493269352,1.5218114921162493,0.5423549929717717,1.9134414208926969,11,0.850319941472487
"IWF,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.359391407092155,0.23504891667928485,-0.1731860825294659,1.3572044199296072,5.805068975601031,2.6294102088345803,0.9546481590469422,1.4649241144077403,1.894084375012921,12,0.8632532924683015
"IGM,SMH,SPMO,XLK",2015-12-02,2026-06-23,2653,1.3567388955907642,0.2628310593591401,-0.21506123394339557,1.2221219721463963,6.866339608790092,2.568368396253602,2.0102529144502554,0.006145525671030481,1.8884891775960837,13,0.8704237699650824
"IGM,MGC,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3679377097484828,0.23856701253558632,-0.19620484720885448,1.2159078428966565,6.366496101869512,2.8260848715964104,1.0883210279351052,0.6630337350384895,1.8721454911864348,14,0.8516072016426289
"SMH,SPMO,VONG,VUG",2015-12-02,2026-06-23,2653,1.3600462456858622,0.2357517084063494,-0.1791061734537017,1.3162679089187865,5.8611984220096485,2.6444799020995915,0.9813512934198494,1.2586895912586036,1.8683832573274712,15,0.8612633341274937
"IGM,IYW,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3553368289803265,0.2624648599456436,-0.21607768630116067,1.2146782226269783,7.1062133213389815,2.536102867069085,1.9963388745301787,-0.02926399252561121,1.861100297388474,16,0.8696291376704178
"DGRW,IGM,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3675468693397492,0.22991034624322237,-0.19184734281185517,1.1984025573327624,6.020889960063637,2.8170905253074383,0.7594040610380594,0.8148334038166216,1.7993331617284614,17,0.8160539599149551
"FTEC,IGM,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3494613013955432,0.26117868987218684,-0.21743025985843237,1.2012067227544079,6.920905478816423,2.400890313435794,1.947469812793524,-0.07638275576387496,1.7694095494031792,18,0.8712660617496183
"IGM,QQQ,SMH,SPMO",2015-12-02,2026-06-23,2653,1.350074634904214,0.25313856553257175,-0.2064981548762233,1.2258635709568693,6.48002857799098,2.4150048569792593,1.6419788510367959,0.30445218188756445,1.7609865201781814,19,0.8667346405582093
"IWF,SMH,VUG,XMMO",2015-12-02,2026-06-23,2653,1.3545441583645919,0.23584486243264946,-0.18663573134712869,1.2636640408046809,6.019087609644249,2.517861268064235,0.9848907552346001,0.9963870689582067,1.7536752743941388,20,0.849056181749977
